	revue–N	revuální–A						
	gubernie–N	guberniální–A						
\	řehtadlo–N	řehtátko–N						
\	zastrkovadlo–N	zastrkovátko–N						
\	odpočívadlo–N	odpočívátko–N						
\	struhadlo–N	struhátko–N						
\	škrabadlo–N	škrabátko–N						
\	držadlo–N	držátko–N						
	plevel–N	plevílek–N						
	kašel–N	kašílek–N						
	uzel–N	uzílek–N						
	mol–N	molární–A						
	fagocyt–NC	fagocytární–A						
	ventrikul–N	ventrikulární–A						
	Turek–N	Turkyně–N						
	stárek–N	stárkyně–N						
	potomek–N	potomkyně–N						
	předek–N	předkyně–N						
	okov–N	okůvek–N						
	krov–N	krůvek–N						
	žernov–N	žernůvek–N						
	krchov–N	krchůvek–N						
	rov–N	růvek–N						
\	žilovitý–A	žilovatý–A						
\	uzlovitý–A	uzlovatý–A						
\	vředovitý–A	vředovatý–A						
\	záhybovitý–A	záhybovatý–A						
\	vláknitý–A	vláknatý–A						
\	vráskovitý–A	vráskovatý–A						
\	žebrovitý–A	žebrovatý–A						
\	tense–N	tenze–N						
\	prekluse–N	prekluze–N						
\	kontuse–N	kontuze–N						
\	suspense–N	suspenze–N						
\	genese–N	geneze–N						
\	konverse–N	konverze–N						
\	hysterese–N	hystereze–N						
	Bedřich–N	Bedříšek–N						
	kožich–N	kožíšek–N						
	Východočech–N	Východočeška–N						
	Valach–N	Valaška–N						
	Kazach–N	Kazaška–N						
	Jihočech–N	Jihočeška–N						
	Vojtěch–N	Vojtěška–N						
\	Sas–N	Sasko–N						
\	Bělorus–N	Bělorusko–N						
\	Němec–N	Německo–N						
\	Frís–N	Frísko–N						
\	Rus–N	Rusko–N						
	výhra–N	výherní–A						
	zpěvohra–N	zpěvoherní–A						
	patrimonium–N	patrimonijní–A						
	kolegium–N	kolegijní–A						
	lyceum–N	lycejní–A						
	studium–N	studijní–A						
	evangelium–N	evangelijní–A						
	špígl–N	špíglák–N						
	Žižkov–N	Žižkovák–N						
	verkšuc–N	verkšucák–N						
	Prajz–N	Prajzák–N						
	Vídeň–N	Vídeňák–N						
	historie–N	historka–N						
	linie–N	linka–N						
\	Katalánie–N	Katalánka–N						
	Amálie–N	Amálka–N						
	surreální–A	surreálno–N						
	zásvětní–A	zásvětno–N						
	zabylství–N	zabylstvo–N						
	relativní–A	relativno–N						
	groteskní–A	groteskno–N						
	vzdělanství–N	vzdělanstvo–N						
	ťopka–N	ťopinka–N						
	špička–N	špičinka–N						
	Terka–N	Terinka–N						
	pracka–N	pracinka–N						
	tříslo–N	tříselný–A						
\	teplo–A	tepelný–A						
\	draslo–N	draselný–A						
	Argentina–N	Argentinec–N						
	břichomluva–NC	břichomluvec–NC						
	Ukrajina–N	Ukrajinec–N						
	Palestina–N	Palestinec–N						
	bohověda–N	bohovědec–N						
	inventář–N	inventární–A						
	urbář–N	urbární–A						
	signatář–N	signatární–A						
	konsistoř–N	konsistorní–A						
\	pinč–N	pinčl–N						
\	ďouba–N	ďoubal–N						
\	čvaňha–N	čvaňhal–N						
\	Gal–N	Gall–N						
\	mops–N	mopsl–N						
	memorandum–N	memorandový–A						
	linoleum–N	linoleový–A						
	kalcium–N	kalciový–A						
	minium–N	miniový–A						
	banka–N	bankovní–A						
	varta–N	vartovní–A						
	švanda–N	švandovní–A						
	prima–N	primovní–A						
	železník–N	železnický–A						
	vzpurník–N	vzpurnický–A						
	zákoník–N	zákonický–A						
	výčepník–N	výčepnický–A						
	vrchník–N	vrchnický–A						
	balík–N	balický–A						
	popelec–N	popeleční–A						
	půlměsíc–N	půlměsíční–A						
	čtverec–N	čtvereční–A						
	kredenc–N	kredenční–A						
	půlnoc–N	půlnoční–A						
\	úhořisko–N	úhořiště–N						
\	mechovisko–N	mechoviště–N						
\	strnisko–N	strniště–N						
\	východisko–N	východiště–N						
\	říjenisko–N	říjeniště–N						
\	vojačisko–N	vojačiště–N						
\	Ilias–N	Iliada–N						
\	otitis–N	otitida–N						
\	rachitis–N	rachitida–N						
\	poliomyelitis–N	poliomyelitida–N						
	syfilis–N	syfilida–N						
	Hellas–N	Hellada–N						
	páter–N	páteříček–N						
\	klášter–N	klášteříček–N						
\	litr–N	litříček–N						
\	orchestr–N	orchestříček–N						
\	mistr–N	mistříček–N						
\	vůčihledý–A	vůčihledný–A						
\	bezhlasý–A	bezhlasný–A						
\	bezhlesý–A	bezhlesný–A						
\	bezmrazý–A	bezmrazný–A						
\	úkosý–A	úkosný–A						
\	vaječník–N	vaječnice–N						
\	viník–N	vinice–N						
\	pilník–N	pilnice–N						
\	výměník–N	výměnice–N						
	pepík–N	pepice–N						
	amnestie–N	amnestijní–A						
	režie–N	režijní–A						
	misie–N	misijní–A						
	hrdlo–N	hrdýlko–N						
	žrádlo–N	žrádýlko–N						
	žehlo–N	žehýlko–N						
	trdlo–N	trdýlko–N						
	vráska–N	vrástička–N						
	láska–N	lástička–N						
	služka–N	služtička–N						
	zkouška–N	zkouštička–N						
	přezka–N	přeztička–N						
	viktuálie–N	viktuální–A						
	loterie–N	loterní–A						
	dimorfie–N	dimorfní–A						
	trimorfie–N	trimorfní–A						
	vrstva–N	vrstevní–A						
	lichva–N	lichevní–A						
	žatva–N	žatevní–A						
	pastva–N	pastevní–A						
	černobrvý–A	černobrvka–N						
	jedenáctiletý–AC	jedenáctiletka–NC						
	jednolampový–AC	jednolampovka–NC						
	tříaktový–AC	tříaktovka–N						
\	prýmkař–N	prýmkář–N						
\	sloupkař–N	sloupkář–N						
\	fajfkař–N	fajfkář–N						
\	párkař–N	párkář–N						
\	svíčkař–N	svíčkář–N						
\	zákop–N	zákůpek–N						
	Prokop–N	Prokůpek–N						
	strop–N	strůpek–N						
	příkop–N	příkůpek–N						
	kruh–N	kružní–A						
	okruh–N	okružní–A						
	postih–N	postižní–A						
	pluh–N	plužní–A						
	špalek–N	špalík–N						
	macek–N	macík–N						
	Vašek–N	Vašík–N						
	špaček–N	špačík–N						
	nosítko–N	nosítka–N						
\	Oto–N	Ota–N						
\	udidlo–N	udidla–N						
\	deko–N	deka–N						
\	perko–N	perka–N						
\	průlomový–A	průlomný–A						
\	výlomový–A	výlomný–A						
\	vřesový–A	vřesný–A						
\	osmihodinový–AC	osmihodinný–AC						
\	záběrový–A	záběrný–A						
\	sklerenchym–N	sklerenchymatický–A						
\	parenchym–N	parenchymatický–A						
\	program–N	programatický–A						
	lub–N	loubek–N						
	srub–N	sroubek–N						
\	pětinásobný–AC	pětinásobek–NC						
\	jednonásobný–AC	jednonásobek–NC						
\	tisícinásobný–AC	tisícinásobek–NC						
	vrbice–N	vrbičný–A						
	křivice–N	křivičný–A						
	vichřice–N	vichřičný–A						
	příjice–N	příjičný–A						
	chirurg–N	chiruržka–N						
	gerontolog–N	gerontoložka–N						
	terminolog–N	terminoložka–N						
	muzikolog–N	muzikoložka–N						
\	poťouchlík–N	poťouchlec–N						
\	zbohatlík–N	zbohatlec–N						
\	vytáhlík–N	vytáhlec–N						
\	vzteklík–N	vzteklec–N						
\	estuár–N	estuárium–N						
	vanad–N	vanadium–N						
	uran–N	uranium–N						
	niob–N	niobium–N						
	stoh–N	stůžek–N						
	vyvléci–V	vyvlíknout–V						
	provléci–V	provlíknout–V						
	povléci–V	povlíknout–V						
	svléci–V	svlíknout–V						
	mez–N	mezička–N						
	událost–N	událostička–N						
	zlost–N	zlostička–N						
	kancelář–N	kancelářička–N						
	korporativismus–N	korporativistický–A						
	unitarismus–N	unitaristický–A						
	intelektualismus–N	intelektualistický–A						
	neofašismus–N	neofašistický–A						
	Amerika–N	Američan–N						
	Kamčatka–N	Kamčatčan–N						
	Afrika–N	Afričan–N						
	Korsika–N	Korsičan–N						
\	dextrosa–N	dextróza–N						
\	siderosa–N	sideróza–N						
\	brucelosa–N	brucelóza–N						
\	bakteriosa–N	bakterióza–N						
	šaty–N	šatky–N						
	bikiny–N	bikinky–N						
	hodiny–N	hodinky–N						
	knot–N	knůtek–N						
	šramot–N	šramůtek–N						
	činovať–N	činovatní–A						
	odúmrť–N	odúmrtní–A						
	kdy–D	kdyže–D						
	ještě–D	ještěže–D						
	jedva–D	jedvaže–D						
	div–N	divže–D						
\	paladin–N	paladýn–N						
\	Valentin–N	Valentýn–N						
\	Celestin–A	Celestýn–N						
\	benediktin–N	benediktýn–N						
	cvrček–N	cvrčíček–N						
	rozpek–N	rozpíček–N						
	špek–N	špíček–N						
	Tomek–N	Tomíček–N						
	ambulatorium–N	ambulatorní–A						
	evangelium–N	evangelní–A						
\	žemle–N	žemla–N						
\	minuskule–N	minuskula–N						
	bambule–N	bambula–N						
	bezduchý–A	bezduše–D						
	plochý–A	ploše–D						
\	vagantit–V	vagantovat–V						
	vykeťasit–V	vykeťasovat–V						
	zakeťasit–V	zakeťasovat–V						
	marodit–V	marodovat–V						
	tam–D	tamo–D						
	ňák–D	ňáko–D						
	sem–D	semo–D						
	tolik–D	toliko–D						
	třeba–D	třebas–D						
	ledakdy–D	ledakdys–D						
	ledakam–D	ledakams–D						
	leckam–D	leckams–D						
\	omšený–A	omšelý–A						
\	zababčený–A	zababčelý–A						
\	zabubačený–A	zabubačelý–A						
\	zakaboněný–A	zakabonělý–A						
\	Vinca–N	Vincek–N						
\	prvovýroba–NC	prvovýrobek–NC						
	Lojza–N	Lojzek–N						
	Sláva–N	Slávek–N						
	hruď–N	hrudní–A						
	výpověď–N	výpovědní–A						
	zpověď–N	zpovědní–A						
	čeleď–N	čelední–A						
	nehet–N	nehýtek–N						
	žaket–N	žakýtek–N						
	věchet–N	věchýtek–N						
\	zneváživý–A	znevážlivý–A						
\	sráživý–A	srážlivý–A						
\	výhončivý–A	výhončlivý–A						
\	shánivý–A	shánlivý–A						
	zapackat–V	zapacknout–V						
	oblíkat–V	oblíknout–V						
	spucat–V	spucnout–V						
	řachat–V	řachnout–V						
	střelmistr–NC	střelmistrovský–A						
	vrtichvost–NC	vrtichvostovský–A						
\	oficiosní–A	oficiózní–A						
\	dolosní–A	dolózní–A						
\	kadaverosní–A	kadaverózní–A						
\	ulcerosní–A	ulcerózní–A						
	Zéland–N	Zélanďan–N						
\	Burgund–N	Burgunďan–N						
	Bělehrad–N	Bělehraďan–N						
\	kápě–N	kápí–N						
\	falckrabě–N	falckrabí–N						
\	markrabě–N	markrabí–N						
	Slavonie–N	Slavonsko–N						
\	Transjordánie–N	Transjordánsko–N						
	Katalánie–N	Katalánsko–N						
\	saducej–N	saduceus–N						
\	patricij–N	patricius–N						
\	farizej–N	farizeus–N						
	Morava–N	Moravěnka–N						
\	útržkový–A	útržkovitý–A						
\	bledničkový–A	bledničkovitý–A						
\	větvový–A	větvovitý–A						
\	bezzvuký–A	bezzvučný–A						
\	zlatozvuký–A	zlatozvučný–AC						
\	odvěký–A	odvěčný–A						
\	ztichounka–D	ztichoučka–D						
\	zblizounka–D	zblizoučka–D						
\	zpolehounka–D	zpolehoučka–D						
\	přehršle–N	přehršel–N						
\	vyžle–N	vyžel–N						
	ostatek–N	ostatky–N						
\	drápek–N	drápky–N						
	hambalek–N	hambalky–N						
	svatyně–N	svatyňka–N						
	nebozez–N	nebozízek–N						
	jez–N	jízek–N						
	pařez–N	pařízek–N						
	vlákno–N	vlákenný–A						
\	čtyřbarvý–AC	čtyřbarevný–AC						
\	jednovrstvý–AC	jednovrstevný–AC						
\	dvojbarvý–AC	dvojbarevný–AC						
\	kratičký–A	kratinko–D						
\	lehoučký–A	lehounko–D						
\	čisťoučký–A	čisťounko–D						
\	sold–N	soldo–N						
	Jan–N	Jano–N						
	čeřen–N	čeřínek–N						
