Martynov	Martyn
Martí	Mart
Marvan	Marván
Mary	máry
Masar	Masár
Matějek	Matějík
Maurj	Maurja
Mayo	May,Mao
Mazát	mazat
Mechová	mechovatý
Medica	Medina
Medicejský	Medicej
Medvědov	medvěd
Melvile	Melvill
Melč	Melk
Memorial	memoriál
Mero	Meroe
Merunka	meruňka
Merč	merk
Metal	metál
Meteora	meteor
Mezuláník	mezulán
Michalik	Michalič
Michalovce	Michalov
Michelangeli	Michelangelo
Micheline	Michelin
Milan	Milán
Milica	milice
Milický	milice
Milička	milice
Milovy	milice
Minas	Minos
Minaříček	Minařík
Mineral	minerál
Mino	mina
Minoos	Minos
Minářík	Minařík
Miron	Mironov
Mitač	Mitáč
Mithridates	Mithridatés
Mlynár	Mlynář
Mníchov	Mnichov
Mojžiš	Mojžíš
Mons	monský
Montána	Montana
Morrisson	Morrison
Mouline	Moulin
Mraz	mráz
Mária	Maria
Míla	míle
Mílka	míle
Míra	mír
Měchuřinka	měchuřina
Mělice	mělký
Mělka	mělký
Mělnice	Mělník,mělnit
Měňany	měňavý
Měřička	měřit
Najmann	Najman
Namibe	Namibie
Nardo	nard
Nate	Nat
Nate	Nat
Navarro	Navarra
Neckář	neckař
Nepal	Nepál
Nepilý	Nepil
Neptune	Neptun
Neptune	Neptun
Netolický	Netolice
Neurastenin	neurastenie
Nešťastný	nešťastník
Nice	Nick
Nicky	Nick
Nicky	Nick
Nikotina	nikotin
Niké	Nick
Nič	ničit
Nora	Nor
Nouza	nouze
Nova	nový
Novak	Novák
Novo	nový
Nádeníček	nádeník
Návara	Navara
Níké	Nick
Němčický	Němčice
Obruby	obruba
Oceánie	oceán
Oldřiš	Oldříš
Olin	Olina
Olive	Oliva,oliva
Oloví	olovo
Opal	opál
Opal	opál
Organ	orgán
Osex	sex
Osmanov	Osman
Osmin	osmina
Ostrovský	ostrov
Osum	Sum
Osvětimsko	Osvětim
Pakistán	Pákistán
Palace	palác
Palák	palác
Pandžáb	Paňdžáb
Panev	pánev
Panta	pantáta
Panta	pantáta
Pantani	pantáta
Pantano	pantáta
Papa	papá,papat
Pardubický	Pardubice
Partizan	partizán
Pascale	pascal,Pascal
Pascale	pascal,Pascal
Pavlič	Pavlov
Pechač	Pecháč
Pele	Pelé
Pennsylvanie	Pennsylvánie
Pensylvánie	Pennsylvánie
Penta	pentle
Perk	pero
Pestřice	pestřit
Petran	Petrán
Petráč	Petrák
Petráň	Petrán
Piava	Piave
Pilo	Pila,pila
Pitter	Piter
Pivonka	Pivoňka
Platini	platina
Platonov	Platon
Plavka	Plávka
Plechač	Plecháč
Plát	plátno
Pláň	plán
Pochylová	pochylovat
Podhoráček	podhorák
Podhájí	Podháj
Podolán	Podolan
Podzemník	podzemní
Podzemný	podzemní
Poděbrad	Poděbrady
Pokojov	pokoj
Poledna	poledne
Polík	políček
Políkno	políknout
Pomněnice	pomněnka
Pomněnkář	pomněnka
Poseidonia	Poseidon
Post	půst
Post	půst
Požar	požár,Požár
Prace	práce
Prat	prát
Pravy	pravý
Prochazka	Procházka
Propper	Popper
Prou	Proust
Pulc	pult
Pátík	pátek
Pávov	páv
Páč	páčit
Píca	píce
Píka	píča
Pískatý	pískat
Pěnka	pěna
Pětík	pětník
Přibyslavský	Přibyslav
Příčovy	příčit
Pšenica	pšenice
Quijote	Quijot
Rachmanin	Rachmaninov
Rachmanov	Rachmaninov
Radoň	radon
Radošiná	Radošin
Raděj	Radějov
Rakové	Rakovník
Rambouský	Rambous
Ramus	rámus
Rana	rána
Randa	Randák
Raná	rána
Rataje	rataj
Ratajský	rataj
Raymann	Rayman
Raýman	Rayman
Raňkov	Rankov
Relief	reliéf
Reto	ret
Rimbaudová	Rimbaud
Riva	Rive
Roberti	Robert
Roberto	Robert
Rohanov	Rohan
Rohový	rohovatý
Roháče	Roháč
Rojek	Rojík
Rojo	roj
Rokytá	Rokyta
Romanovov	Romanov
Rost	růst
Rubin	rubín
Rude	Ruda
Rudy	rudý
Rudá	Ruda
Ruse	rusý
Ruse	rusý
Rutin	rutina
Rybař	Rybář
Rychtová	rychtovat
Rytířsko	rytíř
Ryšava	ryšavý
Révay	réva
Sabine	Sabina
Sabini	Sabina
Sabinov	Sabina
Sabinský	Sabina
Sakramento	sakrament
Saky	sako
