# derivations that will be added to DeriNet based on Etym dict derivations list
# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 395 new probably correct derivation, cca 97,5 % precision
derivation	parent
voltáž#NNF??-----A---?	volt#NNI??-----A---?
opovržení#NNN??-----?---?	opovrhovat#V????--??-??I??
kolovrátkář#NNM??-----A---?	kolovrat#NNI??-----A---?
vraštit#V????--??-??I??	vráska#NNF??-----A---?
vyvýšit#V????--??-??P??	vysoký#AA???----??---?
vázička#NNF??-----A---?	váza#NNF??-----A---?
@rozvoj#NNI??-----A---?	vít#V????--??-??I??
znamenitý#AA???----??---?	znamení#NNN??-----A---?
znamenat#V????--??-??I??	znamení#NNN??-----A---?
seznam#NNI??-----A---?	znát#V???---??-??I??
zoo#NNXXX-----A----	zoologie#NNF??-----A---?
zvoneček#NNI??-----A---?	zvon#NNI??-----A---?
častokrát#Db------------?	častý#AA???----??---?
výčep#NNI??-----A---?	čep#NNI??-----A---?
červavět#V????--??-??I??	červ#NNM??-----A---?
účes#NNI??-----A---?	česat#V????--??-??I??
příčina#NNF??-----A---?	činit#V????--??-??I??
čoud#NNI??-----A---?	čoudit#V????--??-??I??
čtveračit#V????--??-??I??	čtverák#NNM??-----A---?
čunče#NNN??-----A---?	čuně#NNN??-----A---?
čutaná#NNF??-----A---?	čutat#V????--??-??I??
čápovitý#AA???----??---?	čáp#NNM??-----A---?
nesčíslný#AA???----1A---?	číslo#NNN??-----A---?
čůrek#NNI??-----A---?	čurat#V????--??-??I??
řepíček#NNI??-----A---?	řepík#NNI??-----A---?
uřknout#V????--??-??P??	říci#V????--??-??P??
výrok#NNI??-----A---?	říci#V????--??-??P??
šaltpáka#NNF??-----A---?	šaltovat#V????--??-??I??
šaty#NNIP?-----A---?	šat#NNI??-----A---?
šátek#NNI??-----A---?	šat#NNI??-----A---?
šišatět#V????--??-??I??	šiška#NNF??-----A---?
ošklíbat#V????--??-??I??	šklebit#V????--??-??I??
škraloupovitý#AA???----??---?	škraloup#NNI??-----A---?
šmudlat#V????--??-??I??	šmudla#NNM??-----A---?
šnekovitý#AA???----??---?	šnek#NNI??-----A---?
švih#NNI??-----A---?	švihat#V????--??-??I??
zášvih#NNI??-----A---?	švihat#V????--??-??I??
žnečka#NNF??-----A---?	žnout#V????--??-??I??
*útvar#NNI??-----A---?	žužlat#V????--??-??I??
žádoucí#AA???----1?---?	žádat#V????--??-??I??
živel#NNI??-----A---?	živý#A????----??---?
