# Derivations intermediate from 'srov'
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# EtymDict: "derivation" is maybe derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"

# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct



parent	grandparent	derivation
defétizmus#NNI??-----A---?	deficit#NNI??-----A---?	defétista#NNM??-----A---?
referovat#V????--??-??I??	deficit#NNI??-----A---?	referát#NNI??-----A---?
finale#NNN??-----A----	definice#NNF??-----A---?	finále#NNN??-----A---?
flora#NNF??-----A---?	deflorace#NNF??-----A---?	flóra#NNF??-----A---?
doch#NNI??-----A---?	deka#NNF??-----A---?	došek#NNI??-----A---?
decimovat#V????--??-??I??	dekagram#NNI??-----A---?	deci#NNNXX-----A----
aristokracie#NNF??-----A---?	demagog#NNM??-----A---?	demokracie#NNF??-----A---?
autodafé#NNNXX-----A----	demagog#NNM??-----A---?	pedagog#NNM??-----A---?
mentální#AA???----1?---?	demence#NNF??-----A---?	mentalita#NNF??-----A---?
demagogie#NNF??-----A---?	demiurg#NNM??-----A---?	demagog#NNM??-----A---?
chiromantie#NNF??-----A---?	demiurg#NNM??-----A---?	chirurg#NNM??-----A---?
léto#NNN??-----A---?	dnes#Db-------------	letos#Db-------------
natální#AA???----??---?	denaturovaný#AA???----??---?	natalita#NNF??-----A---?
Dinara#NNF??-----A---?	denár#NNI??-----A---?	dinár#NNI??-----A---?
expedovat#V????--??-??B??	depeše#NNF??-----A---?	expedice#NNF??-----A---?
pilule#NNF??-----A---?	depilace#NNF??-----A---?	pilulka#NNF??-----A---?
aport#NNI??-----A---?	deponovat#V????--??-??B??	export#NNI??-----A---?
komprese#NNF??-----A---?	deprese#NNF??-----A---?	kompresor#NNI??-----A---?
dupnout#V????--??-??P??	deptat#V????--??-??I??	dupat#V????--??-??I??
premiera#NNF??-----A---?	derniéra#NNF??-----A---?	premiéra#NNF??-----A---?
transkribovat#V????--??-??B??	deskriptivní#AA???----1?---?	transkripce#NNF??-----A---?
konstruovat#V????--??-??I??	destrukce#NNF??-----A---?	konstrukce#NNF??-----A---?
deka#NNF??-----A---?	detektiv#NNM??-----A---?	tóga#NNF??-----A---?
