# derivations that will be added to DeriNet based on Etym dict derivations list
# there is intermediate node between the derivation and the new parent its connected to
# in the etym dict there is a derivation between parent and intermediate node but intermediate node isnt root
# so insted of connecting this derivation to the parent we connect root of the intermediate node (derivation column)

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 341 probably correct new derivations, cca 75 % precision

derivation	parent	intermediate_node
hřídel#NNF??-----A---?	hřídel#NNI??-----A---?	hřídelový#AA???----??---?
idealizmus#NNI??-----A---?	ideál#NNI??-----A---?	idealismus#NNI??-----A---?
inkoust#NNI??-----A---?	inkoust#NNM??-----A---?	inkoustový#AA???----??---?
inzert#NNI??-----A---?	inzerát#NNI??-----A---?	inzertní#AA???----1?---?
rozjařit#V????--??-??P??	jarý#AA???----??---?	rozjařený#AA???----??---?
jazyk#NNI??-----A---?	jazyk#NNM??-----A---?	jazykový#AA???----??---?
jet#V???---??-??I??	jet#NNI??-----A---?	přijet#V???---??-??P??
jikernatý#AA???----??---?	jikra#NNF??-----A---?	jikrnatý#AA???----??---?
*kudy#Db-------------	jiný#AA???----??---?	jinudy#Db-------------
jinde#Db-------------	jiný#AA???----??---?	odjinud#Db-------------
*jet#NNI??-----A---?	jmout#V????--??-??B??	objetí#NNN??-----?---?
junker#NNM??-----A---?	junker#NNI??-----A---?	junkerský#AA???----??---?
junák#NNM??-----A---?	junák#NNI??-----A---?	junácký#AA???----??---?
Jiří#NNM??-----A---?	jura#NNF??-----A---?	jurský#AA???----??---?
*paštika#NNF??-----A---?	játra#NNN??-----A---?	játrovka#NNF??-----A---?
jedle#NNF??-----A---?	jedle#Dg-------??---?	jedlička#NNF??-----A---?
@kalíš#NNI??-----A---?	kalich#NNI??-----A---?	kalíšek#NNI??-----A---?
*pak#Db-------------	kam#Db-----------??	kampak#Db-------------
*list#NNI??-----A---?	kandidát#NNM??-----A---?	kandidátka#NNF??-----A---?
kapitála#NNF??-----A---?	kapitál#NNI??-----A---?	kapitálový#AA???----??---?
kápnout#V????--??-??P??	kapat#V????--??-??I??	ukápnout#V????--??-??P??
Katov#NNI??-----A---?	kat#NNM??-----A---?	katovský#AA???----??---?
katit#V????--??-??I??	kat#NNM??-----A---?	rozkatit#V????--??-??P??
kejkle#NNFP?-----A---?	kejkle#NNIP?-----A---?	kejklíř#NNM??-----A---?
kiksat#V????--??-??I??	kiks#NNI??-----A---?	kiksnout#V????--??-??P??
klacek#NNI??-----A---?	klacek#NNM??-----A---?	klacík#NNI??-----A---?
klasa#NNF??-----A---?	klas#NNI??-----A---?	klasový#AA???----??---?
klenot#NNI??-----A---?	klenot#NNM??-----A---?	klenotnice#NNF??-----A---?
podklesat#V????--??-??I??	klesat#V????--??-??I??	podklesávat#V????--??-??I??
klient#NNM??-----A---?	klient#NNI??-----A---?	klientela#NNF??-----A---?
klopota#NNF??-----A---?	klopotit#V????--??-??I??	klopotný#AA???----??---?
klofan#NNI??-----A---?	klofat#V????--??-??I??	klofanec#NNI??-----A---?
*klást#V????--??-??I??	kláda#NNF??-----A---?	kladina#NNF??-----A---?
*kmín#NNI??-----A---?	kmen#NNI??-----A---?	kmínek#NNI??-----A---?
*koala#NNF??-----A---?	koalice#NNF??-----A---?	koalovat#V????--??-??B??
kohout#NNM??-----A---?	kohout#NNI??-----A---?	kohoutí#AA???----1A---?
collegium#NNN??-----A---?	kolega#NNM??-----A----	kolegium#NNN??-----A---?
kola#NNF??-----A---?	kolo#NNN??-----A---?	kolový#AA???----??---?
kolos#NNI??-----A---?	kolos#NNM??-----A---?	kolosální#AA???----??---?
*bota#NNF??-----A---?	kopat#V????--??-??I??	kopačka#NNF??-----A---?
*stroj#NNI??-----A---?	kopírovat#V????--??-??I??	kopírka#NNF??-----A---?
*máčet#V????--??-??I??	kopr#NNI??-----A---?	koprovka#NNF??-----A---?
kout#NNI??-----A---?	kovat#V????--??-??I??	kujný#AA???----??---?
okuj#NNF??-----A---?	kovat#V????--??-??I??	okuje#NNF??-----A---?
kořen#NNIS2-----A---1	kořen#NNI??-----A---?	kořínek#NNI??-----A---?
*kořit#V????--??-??I??	kořen#NNI??-----A---?	kořenáč#NNI??-----A---?
kořen#NNI??-----A---?	kořen#NNM??-----A---?	kořínek#NNI??-----A---?
*policie#NNF??-----A---?	kriminál#NNI??-----A---?	kriminálka#NNF??-----A---?
@kritika#NNF??-----A---?	krize#NNF??-----A---?	kritický#AA???----??---?
krejčí#NNM??-----A---?	krejčí#NNF??-----A---?	krejčová#NNF??-----A---?
kopa#NNF??-----A---?	kupa#NNF??-----A---?	kupka#NNF??-----A---?
kvik#NNI??-----A---?	kvičet#V????--??-??I??	kvikat#V????--??-??I??
kyt#NNI??-----A---?	kyt#NNM??-----A---?	kytovat#V????--??-??I??
kádr#NNI??-----A---?	kádr#NNM??-----A---?	kádrový#AA???----??---?
kýla#NNF??-----A---?	kýl#NNI??-----A---?	kýlový#AA???----??---?
křen#NNM??-----A---?	křen#NNI??-----A---?	křenový#AA???----??---?
kora#NNF??-----A---?	kůr#NNI??-----A---?	kůrový#AA???----??---?
sladit#V????--??-??I??	ladit#V????--??-??I??	soulad#NNI??-----A---?
lakýrna#NNF??-----A---?	lak#NNI??-----A---?	lakýrník#NNM??-----A---?
*dráha#NNF??-----A---?	lano#NNN??-----A---?	lanovka#NNF??-----A---?
*taška#NNF??-----A---?	ledvina#NNF??-----A---?	ledvinka#NNF??-----A---?
rozlehnout#V????--??-??P??	ležet#V????--??-??I??	rozlehlý#AA???----??---?
prolhat#V????--??-??P??	lhát#V????--??-??I??	prolhaný#AA???----??---?
lichoběžný#AA???----??---?	lichý#AA???----??---?	lichoběžník#NNI??-----A---?
lidštit#Vf--------A----	lid#NNIS?-----A----	odlidštit#V????--??-??P??
lidnit#Vf--------A----	lid#NNIS?-----A----	zalidnit#V????--??-??P??
zlotřit#V????--??-??P??	lotr#NNM??-----A---?	zlotřilý#AA???----??---?
loupit#V????--??-??I??	loupat#V????--??-??I??	výlupek#NNM??-----A---?
sloha#NNF??-----A---?	sloh#NNI??-----A---?	slohový#AA???----??---?
lukostřelba#NNF??-----A---?	luk#NNI??-----A---?	lukostřelec#NNM??-----A---?
letět#V????--??-??I??	léto#NNN??-----A---?	letovisko#NNN??-----A---?
léta#NNNP?-----A---?	léto#NNN??-----A---?	zletilý#AA???----??---?
*růst#V???---??-??I??	léto#NNN??-----A---?	letorost#NNI??-----A---?
libý#AA???----??---?	líbat#V????--??-??I??	políbit#V????--??-??P??
líc#NNF??-----A---?	líc#NNI??-----A---?	lícový#AA???----??---?
*lehký#AA???----??---?	líhnout#V????--??-??I??	vylíhnout#V????--??-??P??
lenit#V????--??-??I??	líný#AA???----??---?	lenivý#AA???----??---?
@slíva#NNF??-----A---?	lít#V????--??-??I??	slivky#NNFP?-----A---?
*lít#V????--??-??I??	litovat#V????--??-??I??	lítost#NNF??-----?---?
*limonáda#NNF??-----A---?	malina#NNF??-----A---?	malinovka#NNF??-----A---?
malomoc#NNF??-----A---?	malomocný#AA???----??---?	malomocenství#NNN??-----A---?
manit#NNI??-----A---?	man#NNM??-----A---?	vymanit#V????--??-??P??
masa#NNF??-----A---?	maso#NNN??-----A---?	masový#AA???----??---?
mateř#NNF??-----A---?	matka#NNF??-----A---?	mateřský#AA???----??---?
maximalistický#AA???----??---?	maximum#NNN??-----A---?	maximalismus#NNI??-----A---?
mdlít#V????--??-??I??	mdlý#AA???----??---?	omdlít#V????--??-??P??
melodrama#NNN??-----A---?	melodram#NNI??-----A---?	melodramatický#AA???----??---?
methylen#NNI??-----A---?	metyl#NNI??-----A---?	metylén#NNI??-----A---?
metrum#NNN??-----A---?	metr#NNI??-----A---?	metrický#AA???----??---?
mikrob#NNI??-----A---?	mikrob#NNM??-----A---?	mikrobiální#AA???----??---?
*déšť#NNI??-----A---?	minerál#NNI??-----A---?	minerálka#NNF??-----A---?
mizerie#NNF??-----A---?	mizera#NNF??-----A---?	mizerný#AA???----??---?
mizera#NNF??-----A---?	mizera#NNM??-----A---?	mizerný#AA???----??---?
moci#V???---??-??I??	moc#Db-------------	mocný#A????----??---?
model#NNI??-----A---?	model#NNM??-----A---?	modelový#AA???----??---?
zmokat#V????--??-??I??	moknout#V????--??-??I??	zmoknout#V????--??-??P??
*fotografie#NNF??-----A---?	moment#NNI??-----A---?	momentka#NNF??-----A---?
morfematika#NNF??-----A---?	morfém#NNI??-----A---?	morfematický#AA???----??---?
moralizmus#NNI??-----A---?	morální#AA???----??---?	moralista#NNM??-----A---?
zámot#NNI??-----A---?	motat#V????--??-??I??	zámotek#NNI??-----A---?
*vléct#Vf--------A----	motor#NNI??-----A---?	motorák#NNI??-----A---?
*kopr#NNI??-----A---?	močit#V????--??-??I??	zmáčet#V????--??-??P??
přímoří#NNN??-----A---?	moře#NNN??-----A---?	přímořský#AA???----??---?
podmoří#NNN??-----A---?	moře#NNN??-----A---?	podmořský#AA???----??---?
mrtvý#A????----??---?	mrtvý#NNM??-----A---?	mrtvice#NNF??-----A---?
*bylina#NNF??-----A---?	mrcha#NNF??-----A---?	mrchožrout#NNM??-----A---?
myslit#V????--??-??I??	mysl#NNF??-----A---?	myslitel#NNM??-----A---?
smyslet#V??????????????	mysl#NNF??-----A---?	usmyslet#V??????????????
máj#NNI??-----A---?	máj#NNF??-----A---?	májový#AA???----??---?
*měřit#V????--??-??I??	mír#NNI??-----A---?	mírový#AA???----??---?
*mír#NNI??-----A---?	mířit#V????--??-??I??	záměr#NNI??-----A---?
cedule#NNF??-----A---?	směr#NNI??-----A---?	směrovka#NNF??-----A---?
muzika#NNF??-----A---?	múza#NNF??-----A---?	múzický#AA???----??---?
naftalen#NNI??-----A---?	nafta#NNF??-----A---?	naftalín#NNI??-----A---?
negativní#AA???----??---?	negace#NNF??-----A---?	negativ#NNI??-----A---?
nicota#NNF??-----A---?	nic#Db-------------	nicotný#A????----??---?
nivelovat#V????--??-??I??	nivelizovat#V????--??-??B??	nivelizace#NNF??-----A---?
*líhnout#V????--??-??I??	noc#NNF??-----A---?	nocleh#NNI??-----A---?
znuzit#V????--??-??P??	nudit#V????--??-??I??	znuděný#AA???----??---?
numerika#NNF??-----A---?	numero#NNN??-----A---?	numerický#AA???----??---?
*kázat#V????--??-??I??	občan#NNM??-----A---?	občanka#NNF??-----A---?
@razit#V????--??-??I??	obraz#NNI??-----A---?	obrazný#AA???----??---?
mykat#V????--??-??I??	odemknout#V????--??-??P??	odemykat#V????--??-??I??
@váha#NNF??-----A---?	odvaha#NNF??-----A---?	odvážit#V????--??-??P??
Vojen#NNM??-----A---?	vojna#NNF??-----A---?	vojenský#AA???----??---?
platit#V????--??-??I??	oplatka#NNF??-----A---?	oplatek#NNI??-----A---?
organik#NNM??-----A---?	orgán#NNI??-----A---?	organický#AA???----??---?
orgán#NNI??-----A---?	orgán#NNM??-----A---?	organický#AA???----??---?
originál#NNI??-----A---?	originál#AAXXX----1A----	originální#AA???----??---?
osobit#V????--??-??I??	osoba#NNF??-----A---?	osobovat#V????--??-??I??
pac#NNFXX-----A----	pac#NNI??-----A---?	packa#NNF??-----A---?
@pálit#V????--??-??I??	palice#NNF??-----A---?	palička#NNF??-----A---?
*panika#NNF??-----A---?	pán#NNM??-----?---?	panictví#NNN??-----A---?
*dům#NNI??-----A---?	panel#NNI??-----A---?	panelák#NNI??-----A---?
parka#NNF??-----A---?	park#NNI??-----A---?	parkový#AA???----??---?
pastorovat#V????--??-??I??	pastorek#NNM??-----A---?	pastorkyně#NNF??-----A---?
pata#NNF??-----A---?	pat#NNI??-----A---?	patový#AA???----??---?
patrona#NNF??-----A---?	patron#NNM??-----A---?	patronka#NNF??-----A---?
*papír#NNI??-----A---?	pauzovat#V????--??-??I??	pauzák#NNI??-----A---?
pavouk#NNM??-----A---?	pavouk#NNI??-----A---?	pavouček#NNM??-----A---?
