parent	grandparent	derivation
lýko#NNN??-----A---?	mrcha#NNF??-----A---?	mrchožrout#NNM??-----A---?
myslit#V????--??-??I??	mysl#NNF??-----A---?	důmyslný#AA???----??---?
smyslet#V??????????????	mysl#NNF??-----A---?	smýšlet#V????--??-??I??
přemýšlet#V????--??-??I??	mysl#NNF??-----A---?	přemýšlivý#AA???----??---?
měřit#V????--??-??I??	mír#NNI??-----A---?	mírový#AA???----??---?
mír#NNI??-----A---?	mířit#V????--??-??I??	záměr#NNI??-----A---?
cedule#NNF??-----A---?	směr#NNI??-----A---?	směrovka#NNF??-----A---?
muzika#NNF??-----A---?	múza#NNF??-----A---?	múzický#AA???----??---?
naftalen#NNI??-----A---?	nafta#NNF??-----A---?	naftalín#NNI??-----A---?
nicota#NNF??-----A---?	nic#Db-------------	nicotný#A????----??---?
nivelovat#V????--??-??I??	nivelizovat#V????--??-??B??	nivelizace#NNF??-----A---?
líhnout#V????--??-??I??	noc#NNF??-----A---?	nocleh#NNI??-----A---?
znuzit#V????--??-??P??	nudit#V????--??-??I??	znuděný#AA???----??---?
numerika#NNF??-----A---?	numero#NNN??-----A---?	numerický#AA???----??---?
kázat#V????--??-??I??	občan#NNM??-----A---?	občanka#NNF??-----A---?
razit#V????--??-??I??	obraz#NNI??-----A---?	obrazný#AA???----??---?
mykat#V????--??-??I??	odemknout#V????--??-??P??	odemykat#V????--??-??I??
váha#NNF??-----A---?	odvaha#NNF??-----A---?	odvážit#V????--??-??P??
Vojen#NNM??-----A---?	vojna#NNF??-----A---?	vojenský#AA???----??---?
platit#V????--??-??I??	oplatka#NNF??-----A---?	oplatek#NNI??-----A---?
organik#NNM??-----A---?	orgán#NNI??-----A---?	organismus#NNI??-----A---?
orodovník#NNM??-----A---?	orodovat#V????--??-??I??	orodovnice#NNF??-----A---?
osobit#V????--??-??I??	osoba#NNF??-----A---?	osobovat#V????--??-??I??
pálit#V????--??-??I??	palice#NNF??-----A---?	paličkovat#V????--??-??I??
panika#NNF??-----A---?	pán#NNM??-----?---?	panictví#NNN??-----A---?
dům#NNI??-----A---?	panel#NNI??-----A---?	panelák#NNI??-----A---?
parka#NNF??-----A---?	park#NNI??-----A---?	parkový#AA???----??---?
pastorovat#V????--??-??I??	pastorek#NNM??-----A---?	pastorkyně#NNF??-----A---?
pata#NNF??-----A---?	pat#NNI??-----A---?	patový#AA???----??---?
patrona#NNF??-----A---?	patron#NNM??-----A---?	patronka#NNF??-----A---?
papír#NNI??-----A---?	pauzovat#V????--??-??I??	pauzák#NNI??-----A---?
perfektivum#NNN??-----A---?	perfektum#NNN??-----A---?	perfektivní#AA???----1?---?
lampa#NNF??-----A---?	petrolej#NNF??-----A---?	petrolejka#NNF??-----A---?
bezpečí#NNN??-----A---?	péče#NNF??-----A---?	nebezpečí#NNN??-----A---?
pilota#NNF??-----A---?	pilot#NNI??-----A---?	pilotní#AA???----1?---?
opláchnout#V????--??-??P??	pláchnout#V????--??-??P??	oplachovat#V????--??-??I??
máchnout#V????--??-??P??	pláchnout#V????--??-??P??	máchat#V????--??-??I??
vlas#NNI??-----A---?	plavý#AA???----??---?	plavovlasý#AA???----??---?
pleso#NNN??-----A---?	plesat#V????--??-??I??	plesový#AA???----??---?
plevelit#V????--??-??I??	plevel#NNI??-----A---?	zaplevelený#AA???----??---?
zplíhat#V????--??-??I??	plihnout#V????--??-??I??	zplihlý#AA???----??---?
polyethylen#NNI??-----A---?	polyetylen#NNI??-----A---?	polyetylenový#AA???----??---?
porfyrie#NNF??-----A---?	porfyr#NNI??-----A---?	porfyrický#AA???----??---?
tvořit#V????--??-??I??	potvora#NNF??-----A---?	zpotvořit#V????--??-??P??
mršit#V????--??-??I??	pozřít#V????--??-??P??	požírat#V????--??-??I??
ruka#NNF??-----A---?	pošta#NNF??-----A---?	pošťák#NNM??-----A---?
prchat#V????--??-??I??	pršet#V????--??-??I??	sprchovat#V????--??-??I??
hřib#NNI??-----A---?	pravý#AA???----??---?	pravák#NNM??-----A---?
praktikovat#V????--??-??I??	praktický#AA???----??---?	praktika#NNF??-----A---?
vyprahat#V????--??-??I??	prahnout#V????--??-??I??	vyprahlý#AA???----??---?
reprezentance#NNF??-----A---?	reprezentovat#V????--??-??B??	reprezentativní#AA???----??---?
prubnout#V????--??-??P??	průba#NNF??-----A---?	prubovat#V????--??-??I??
profylaktikum#NNN??-----A---?	profylaxe#NNF??-----A---?	profylaktický#AA???----??---?
projekce#NNF??-----A---?	projekt#NNI??-----A---?	projektor#NNI??-----A---?
prominence#NNF??-----A---?	prominent#NNM??-----A---?	prominentní#AA???----??---?
