zhrůznět	hrůzný
sebehodnotit	sebehodnota
zhranatět	zhranatit
Schipanská	Schimanský
zhniličelý	zhniličit
zhorlivět	horlivý
zhoroucnět	horoucný
zhanivší	zhanět
zhavranět	zhavranit
zhedvábnět	hedvábný
zhatění	zhatit
zešupinovatět	šupinatět
zešťastnět	šťastný
zfajnovět	fajnový
zfalešnět	falešný
zešupačet	šupat
zešlechetnět	šlechetný
zezlobnět	zlobný
zevzdornět	vzdorný
zesvětačit	světák
zesínatelný	zsinat
zesínávaný	zsinávat
zesínávatelný	zsinávat
zestřídmět	střídmý
zestřízlivit	střízlivět
zestrakatět	zastrakatět
zesoučasnit	současný
zesprostnout	sprostný
zeslyšitelnit	slyšitelný
zesnobštit	snobský
zesoustavnit	soustavný
zeskromnět	skromný
zesamostatnět	samostatný
zdůvěrnit	důvěrný
zdřepěný	dřepět
zdůstojnit	důstojný
zdůstojnět	důstojný
zdětinět	dětina
zdánínko	zdání
zdrželivec	zdržet
zdusnět	dusný
zdvižení	zdvihnout
zdvižený	zdvihnout
zdolavatel	zdolávat
zdomácnit	domácí
zdarebatělý	zdarebačit
zcopatět	patovat
zchrátralost	zchátralý
zchuzelý	zchudit
gemblerství	gamblerský
gejzírovitý	gejzír
Hrádečná	Hradečný
zchladnět	chladný
zchmurnět	chmurný
zchraplavět	chraplavý
Nižná	nižný
sebeničivější	sebeničivý
zbělavět	zbělat
zbůjnictví	zbojnický
zchatrnět	chatrný
sebenáročný	sebenárok
sebeobchodování	obchodování
zbídnět	bídný
zbrojnictví	zbrojník
zbyrokratět	byrokrat
galerijnictví	galerijní
zbožíznalství	zbožíznalec
zbortění	zbortit
zbortěný	zbortit
zbojničit	boj
zblouznivět	blouznit
zbezradnět	bezradný
Hroznětínská	hroznětínský
zbabčelý	zbabčit
zbahnět	bahnit
zbambulatět	bambulatý
zažehnávač	zažehnávat
zblouznění	blouznit
fňukalství	fňukal
fízláctví	fízlácký
zašvandronit	švadronit
zašvihačit	zašvihat
zaťavší	zatavit
zašpetat	šeptat
fučíkovec	Fučík
sebeobětovný	sebeobětovat
sebeobětující	sebeobětovat
sebeobsloužit	obsloužit
sebeobstarat	obstarat
zařechtavší	zařehtat
zařícený	zařídit
zařachtavší	zarachtat
