Krpcová	Krpec
Tučová	Tuka
Tučímová	Tučím
Kroutilíková	Kroutilík
Kroutlová	Kroutl
Lukšíčková	Lukšíček
Šárovcová	Šárovec
Šálková	Šálek
Šáralová	Šáral
Šádková	Šádek
Šáfrová	Šafr
Lukšanová	Lukšan
Kropková	Kropek, Krka
Kroppová	Kropp
Kropáčková	Kropáček
Tutterová	Tutter
Turčaková	Turček, Turčák
Turčínková	Turčín, Turčínek
Arnoštková	Arnoštka, Arnoštek
Lukášková	Lukáška
Lukáčková	Lukáček
Kronková	Kronek
Kronychová	Kronich
Vonášková	Vonášek
Vonásková	Vonásek
Krondlová	Krondl
Lundeová	Lund
Krogová	Krok
Krohová	Kroh, Kroha, Krohe
Lupanová	Luhan, Lužan
Vopršálková	Vopršálek
Krmíčková	Krmíček
Švrčková	Švrček
Križánková	Križánek
Krkavcová	Krkavec
Krištůfková	Krištůfek, Krištúfek
Križalkovičová	Křižalkovič
Krištanová	Kristan
Krištúfková	Krištúfek
Luuová	Lu, Lun
Švihlová	Švihl, Švihla
Švihovcová	Švihovec
Švihálková	Švihálek
Asadaová	Asada, Asad
Turečková	Turček, Tureček
Voráčková	Voráček
Aschermanová	Aschermann
Krinková	Kring, Krinke
Krilová	Krill
Kristková	Kristek, Krista, Krist
Kristová	Krist, Krista, Kristl
Vosečková	Voseček
Tuová	Tu, Tuva, Tuma, Tula
Voskovcová	Voskovec
Luxíková	Luxík
Luversová	Luders
Tuláčková	Tuláček
Luštincová	Luštinec, Luština
Luňáčková	Luňáček, Luňák
Krhánková	Krhánek
Tuluová	Tula
Tullová	Tull, Tulla
Krhounková	Krhounek
Švejdarová	Švejdar
Kretková	Kretek
Švaříčková	Švaříček
Kremlová	Kreml, Kremla
Krendlová	Kerndl, Kreidl
Kremláčková	Kremláček
Kremlevová	Kreml, Kremla
Tuháčková	Tuháček
Tulliová	Tulli, Tullia
Švalbová	Šalba
Tukačová	Tkač
Lysoňová	Lysoň
Lysaková	Lysák
Švantnerová	Švantner
Švancerová	Švancer
Krejzková	Krejzek
Krejzlová	Krejza
Krejsková	Krejsek, Krejsa
Vostárková	Vostárek
Švagrová	Švagera
Šustáčková	Šustáček, Šusťáček, Šusták
Vostatková	Vostatek
Šustková	Šustek
Lábková	Lábek, Láb
Lábová	Láb, Lába, Lábek
Krchňáčková	Krchňáček, Krchňák
Krbcová	Krbec
Krchovová	Krcha
Krbušková	Krbušek
Krbálková	Krbálek
Krbůšková	Krbůšek
Krbicová	Krb, Krbice, Krbec
Lysáčková	Lysáček
Votroubková	Votroubek
Votrubcová	Votrubec, Votruba
Šurmánková	Šurmánek
Trčálková	Trčálek
Láníčková	Láníček, Lánička, Laníček
Lámerová	Lamer
Kračmaříková	Kračmařík
Kračková	Kraček
Kračmanová	Kračman
Kračmerová	Kračmer
Auersvaldová	Auersvald
Audranová	Audran
Aueová	Auer, Au
Šuralevová	Šural
Trávníčková	Trávníček
Kravcová	Kravec
Kraváčková	Kraváček, Kravčák, Kravák
Lázníčková	Lázníček
Šumšálová	Šumšal
Augustynová	Augustin
Augutinová	Augustin
Šuminová	Šumen
Votápková	Votápek
Vouetsová	Vouet
Vovsová	Voves
Lépešová	Lepeš
Šulcková	Šulcek
Vozobulová	Vozobule
Krasová	Kraso
Lášková	Lášek, Laška
Voříšková	Voříšek
Šuhajová	Šohaj, Šuhajda
Auředníčková	Auředníček
Šugárková	Šugárek
Štůsková	Štůsek
Kramériusová	Kramerius
Krandová	Kranda
Lízancová	Lízanec
Lívancová	Lívanec
Trunečková	Truneček
Trumhová	Trumm
Lískovcová	Lískovec
Lísková	Líska, Líský, Lísek
Trsková	Trsek
Trubáčková	Trubáček, Trubáčkův
Voženílková	Voženílek
Lópezová	López, Lopez, Lopes, Lope, Lopéz
Trtková	Trtek
Trubačová	Trubačov
Trtílková	Trtílek
Kraková	Krakov
Krajíčková	Krajíček
Lövyová	Löwy
Trpálková	Trpálek
Trpkovičová	Trpkovič, Trpka
Trpkošová	Trpkoš, Trpka
Krajicková	Krajicek
Trottaová	Trott
Trousílková	Trousílek
Troutová	Trout
Krajbichová	Krajbich, Krejbich
Kraitlová	Krajtl
Krahulcová	Krahulec
Krahlová	Krajl
Vrabcová	Vrabec
Troníčková	Troníček
Troopová	Troup, Trope
Vrablecová	Vráblec
Vrablová	Vrábl
Štípalová	Štípal, Štípala, Šípal
Štípková	Štípek, Štěpka
Štípová	Štípa
Tronečková	Troneček
Štáfková	Štáfek
Krabcová	Krabec
Kožíšková	Kožíšek
Lýrová	Lír, Lér
Trojáčková	Trojáček
Štveráčková	Štveráček, Štverák
Trochová	Torch, Toch
Kožnárková	Kožnárek
Kožoušková	Kožoušek
Maanenová	Mane
Trogerová	Troeger
Trojancová	Trojanec
Štulrajterová	Štulajter
Trnová	Trna
Trnovcová	Trnovec, Trnov
Štukavcová	Štukavec
Štrétová	Škréta
MacGrawová	McGraw
Košíčková	Košíček
Koščová	Koška
Košťálková	Košťálek, Košťál
Babenková	Babenko
Babejová	Babej
Babiaková	Babiak, Babiák
Babbová	Babb, Babbo
Macalíková	Macalík
Košábková	Košábek
Košárková	Košárek, Kosárek, Korák
Košvancová	Košvanec
Koštálková	Koštálek, Košťálek
Babitzová	Babitz, Babits
Babiuková	Babiuk, Babiák
Štrayblová	Štrajbl
Babinová	Babina, Babiny
Babincová	Babinec
MacKinnonová	Mackinnon
Machalíčková	Machalíček
Machancová	Machanec
Babidoričová	Babidorič
Babkinová	Babkin
Babkovičová	Babkovič
