oblomovština	oblomovský, Oblomovský
rudolfka	Rudolf, Rudlof
punčák	punč, punčový
rezoluce	resoluce, soluce
finálka	finální, finále, finale
retrasát	trasát, retrasant
retrasát	trasát, retrasant
vplat	plát, platit, vplatit, plat
rychlík	rychlý, Rychlý
vršina	vršit, vrš, vršík, vršek, vrch
zřit	zřít, zřívat
kladač	kládat, klást
festík	fest, Fest
ambrozie	Ambroz, ambra, ambrózie, ambrosie
típec	típat, típnout, tipec
parametr	metr, metrum
prutovka	prutový, prut
multiprogram	program, gram
vandrovák	vandrovat, vandrovka
hladit	hlad, hladký, hladový
lemuří	lemur, lum
briťák	Britin, Brť
sluník	slunce, slunit
kostna	kost, host, kostní
biomoc	moc, micro
bonboniera	bonbon, bonbón
kabaretík	kabaret, kabar
gazík	gazik, gazský
velkostanovisko	velkostan, velkost
administrativa	administrace, administrativní
fauní	fauna, faun, fauně
systémák	systém, systémácký
permutace	permutovat, mutace
vizuna	visnout, vise
vizuna	visnout, vise
vrkot	vrkat, vrknout, frkat
asynchron	asynchronie, synchron
fibrilární	fibrila, fibrilovat
čertovstvo	čertovský, čert, čertovství
naťatý	nať, nato
nominální	nominál, nominále
illegalní	ilegální, illegální
cibulovka	cibulový, Cibula
biopolární	polární, pole, polovat
votum	vótum, tu
biokompostér	kompostér, biokompost
polák	Polák, úl, Polsko, pól, lákat
kolatura	kolovat, kolo
prezentant	prezentace, prezentovat, prezent, prezence, presentant, presentovat
nudita	nudizmus, nudný
kmenovka	kmenový, kmen
dřít	dít, dnít
smutný	smuta, smutit, smutek
faktitivum	faktický, faktitivní
instabilní	stabilní, skoba, skovat
úkosý	úkos, úkoj
tulipánokvětý	tulipánek, tulipán
parapsychologie	psychologie, parapsychický
vagabundstvo	vagabundský, vagabund
polopásák	polopás, polopásový
veršotep	verš, štep
verbovník	verbovat, verbovní, verbovka, verbum
smyv	smývat, smyk
šmajchlovna	šmajchl, šmajchlův, šmajchlovný
vřez	vřezat, řez, vřed, vrazit
aplikativní	aplikace, aplikovat
koloidika	koloid, kolo
jehelné	jehla, jehelní
kontráš	kontr, kontras
růžovec	růžový, růže, Růžov, ráže
avalista	aval, avalovat
verbírna	verbíř, verbovat
hegelovsku	hegelovský, Hegel
provir	vir, vír
mlsout	mlsat, mls, mlčet
vést	mést, nést
švih	švihnout, švihat
čověk	čovka, čovek
skárna	ska, skát
podlý	podat, podle, dlít
polosvětlo	polosvětlý, světlo
feriální	ferie, férie
plesnivka	plesnivý, plesnivec
ostrov	ostrý, Ostrov, ostravit, vidět
stimulans	stimulus, stimulovat
analista	anál, anální
svazkovka	svazkový, svazek
auditorium	auditor, audit
šmakoun	šmakovat, šmak, šmakat
elefant	Elefant, elevace
černý	čnít, čert
protioko	prota, proto
třímetrovka	třímetrový, trojmetrový
heroldie	Herold, herold
debka	bek, bekat
čéška	číška, číše
kuklík	Kuklík, Kukla
kuklík	Kuklík, Kukla
chloramin	Chloramin, chlor
kročej	krok, krokovat, kročit
zábavovka	zábavový, zábava
jednoručák	jednoruký, jednoruční
polyserozitida	serozitida, polyserositida
borisovka	Borisov, Boris
švadronil	švadrona, švadronit
bajan	Bajan, báj, Baja
častuška	část, částice, častovat
úhořisko	úhoř, úhořit, úhoří, úhoření
malilince	malilinký, malinký, maliník
vrkotat	vrkat, vrknout, vrkot, frkat
provázkiáda	provázek, Provázek
kotovka	Kotov, Kotovice
mohista	mohizmus, Moha
dichlor	chlor, chlór
cigánečka	cigánka, Cigánek
rolna	role, Role, rolní
zamindrákovanec	zamindrákovaný, zamindrákovávaný, zamindrákování
dramaterapeut	dramaterapie, drama
spienlid	spinel, spinelid
schroustnout	chroustat, schroustat, chroust
harmonizér	harmonizovat, harmonie, harmonizovaný, harmonika
vřešťál	vřeštět, vřeštěný
autostop	auto, stop
prostituce	prostituovat, prostitut
šmolka	Šmolka, Šmol
sádrovka	sádrový, sádra
skaz	skazka, kaz
brusián	Brus, brus
valeriána	Valerián, Valery
hnízdák	hnízdní, hnízdový
kontroler	kontrolovat, kontrola, kontrolér, kontrolní, kontrolovaný
provincialát	provinciální, provinciál, provincie, provincializmus, provincialita
izochronie	izochronní, isochronní
řvát	vřít, rvát
passat	pasný, past, pas, pasta
ovace	ovazovat, ovázat, ovce
píča	píce, pec, píka
biosyrob	syrob, sirob
střídeň	středa, středit, střed, střední
dvoupouzdrý	dvojpouzdrý, dvoupouzdří
barbakan	Barbakan, barbakán
míle	mile, milý
fedosejevec	fedosejevský, Fedosejev
zmat	mat, mnout, mít, mýt
třílitrovka	třílitr, třílitrový
nanotechnologie	technologie, techonologie
prorok	rok, prorokovat
votant	votovat, votum
mádlo	madlo, málo
kotérie	koterie, kota
hupky	hopky, houpat
nonrezident	rezident, resident
čarovid	čára, čarový
polocivilista	cela, celý
vněm	měnit, vnímat
militarní	militarium, militarista
plotík	plot, plotní
kušista	kuše, kušský, kušovat
odpařovák	odpařovat, odpařit
prosit	sít, prasit, proso
aprobant	aprobace, aprobovat
pastorát	pastor, pastorský, pastorace
exotika	exot, exotický, exotikum
cytometrie	cytometr, metrum, -metr-, metrie
sedule	sedle, sedat
kosmetika	kosmetický, kosmos
zubrovka	zubrový, zubr
pátek	pat, ptát, pata, patka
federál	federální, federovat, fedrovat, federalizmus
spicha	spíchat, spíchnout
výře	výr, výří, výřit
prostátý	prostát, stát, prostý
autovláček	vláček, autovlak
čtvernožka	čtvernohý, čtverný, čtvernožec
sublimant	sublimace, sublimovat
nach	chovat, chcát
kavoň	káva, Kavoň, kát
zádu	duda, zadu, zadout, zadat
úkosmo	úkos, úkosý, úkosný
střelmo	střelit, střelný
soubor	bor, obor, úbor
pozoun	pozvat, zoun
bromhidróza	bromidróza, brom
frýzka	frézka, fréza
vizualiser	vizuelní, visuelní, vizualizer, vizuální, vizuál
kerka	kérka, Kerka, Kerk, cerka
prakr	prak, krát
ústa	ustat, ustavit
amylóza	amyl, amylosa
meliorátor	meliorovat, meliorace
rozprašek	rozprášit, rozprašovat, rozprach
pasažér	pasáž, pasovat, pasažer, pas
ambrosie	ambrozie, ambrózie
čirý	čiře, čířit
celuloza	celula, celulosa, celulóza
šneček	šnek, šenk
vokál	Vokál, okál, vokální, kolář
aportér	aport, aportovat
pastvice	pást, pasta, pastevec
běhutý	běh, běhat, běžet
nežit	něha, žít, níže
provisorium	provizorium, provizórium
říhot	říhat, říhnout
ergometrin	ergometrie, ergometr
autokemping	kemping, autokempink
učebné	učební, učit, učba, učíst
ovád	ovázat, uvádět
zimovisko	zima, zimový, zimní
žolík	žít, žíla
žolík	žít, žíla
zkum	zkoumat, koumat
impotentní	impotent, impotence
imobiliární	mobiliární, imobilie, mobilární
rolbovné	rolbovat, rolbování, rolba
spoďák	spodní, půdní
stěrat	stírat, setřít, třít
chlapina	chlap, chlapský
minisen	mina, Mina
radiofikace	radiofikovat, radio
stěhovné	stěh, stěhovat
restituce	restituovat, restituční, restitut
oficiant	oficium, oficient
kapitálovka	kapitálový, kapitál
dryják	Dryje, Dryják
reverzibilní	reverze, reverz
rozlamovák	rozlamovat, rozlamovaný
nicka	nika, Nice, nic
konverter	konvert, konvertovat, konvertovaný
expozitura	expozice, expositura
skater	skate, kater, skat
chvostan	chvost, chvat, Chvosta
výmok	vymoknout, vymykat, vymeknout
impresí	pres, imprese
expučista	pučista, pučistický
skýtat	setnout, tknout
líbat	lítat, lnout
pedál	dál, velární
paketizer	paket, paketa
loubí	Louba, Loubí, lub
vesměrný	směr, vesmír
prosev	prosít, prosévat, provést, set
obecňák	obecný, obecní, obec
danien	dan, Dani, daň, Dan, den, Dania
šikmooce	šikmooký, šikmo
fatka	fata, fatický
hřivna	hříva, hrivna
fóliák	folium, foliový, folie
kryogenika	kryogenický, kryogenní
pěkný	Pěkný, pět, pěch, pěkno
chromatida	chrom, chromatický, chromý
solidární	solida, solidus, solidní
ostrovid	ostrov, ostrý
břidla	břit, břidlový
skriptor	skript, skripta, skriptura, skriptovat, skriptový
černočerno	černočerný, černý
prolhat	lhát, lehnout, lehat
discoparty	diskoparty, party
skicovné	skicový, skicovat, skica
hřebit	hřeb, hřebný, hřebí, hrabat
zkrucha	zkrušit, krušit
mačkat	mač, mačka, makat
orličan	orlík, orličí, orlický, Orlík
kokošek	kok, kokos
klikovka	klikový, Klik, Klika, Klikův, kliknout, klika, Klikov, klikat, klik
modlit	modla, model
kobzar	kobza, Kobzar, Kobza
buski	ski, Buska, Busk, bus
startér	start, skart, sparta
sádlo	sát, sadit, sázet, Sádlo
bobře	bobří, bobr, bob
vyšní	výše, vyhnout
trojice	trojka, troják, trojský
mazlit	mazel, mazal, mazat, maz
vrtejš	vrtat, vrt, vrtní
schematika	schéma, schema, schématika
světaběh	svět, světec
živáň	živý, živo
perforátor	perforovat, perforace
skaný	skát, skat, sekat
temporálie	temporální, tempo
čipka	čip, čpět, čep
sklonek	sklon, sklonit
kladí	kláda, klást, klad
kolej	kola, kolo, kůl, kolejní
existenciálium	existence, existenciální
kicker	Kicker, Acker
prsténec	prsten, prst, prstní
sifonální	sifón, sifon
nezbytný	zbytný, nezbytí, zbytý
autovlak	vlak, auto
mačka	máčka, mač
řáhot	říhat, řáhotat, řáhol
potřeba	potřebovat, třeba
snob	snít, son, sob
pětiboce	pětiboký, pět
periostitis	periost, periostitida
krkoška	Krkoš, krk
notovné	notovat, nota
libace	libovat, libý
pepka	pepa, Pepa
rigorozum	rigorózum, riga, rigorosum
zdobit	zdoba, zdobný
mezivládí	mezivláda, mezivládní
volární	volárna, vůl
zráda	zradit, zrada, rada, ruda
agromafie	-gram-, mafie
zárub	zarubat, záruba, zarubnout
aspirativní	aspirace, aspirovat
ovoce	ovce, okovat
rekorder	rekord, rekce, rekordní
napatý	napnout, napít
soukat	koukat, kukat, kout
protkat	protknout, protnout, tknout
komonice	komínový, komín
skanner	scanner, scan, sek
biovinice	-bio-, vinice
práskat	praskat, prskat, prasknout
vojet	ojet, oj, jít, jet, vjet
elektronografie	elektrografie, elektro
weissovec	weissovský, Weiss
kopista	Kopista, kopa, kop, kopie
teleprezentace	prezentace, prezent
pitomý	pitý, pit, pít
čelmo	čelo, čelit, čelový
blbák	blb, blbý
multiformní	formovat, forma
genitál	genitální, geniální
větrňák	větrný, větrní, větrno
srágora	srát, sára, sráz
spěchat	spěch, spíchat
prťák	prťavý, prť
manat	man, mást
palatýn	palatin, Palata, palatinský
chvoště	chvost, chvět, chvat
žebřice	žebř, žebro, žebr, žebřík, žebrový
cupatina	cupat, cupovat
ohař	hřát, hrát
pašák	paša, pašík, paš
bořit	bor, boří
otrocku	otrok, otrocký
dizajn	design, dýza
polyesterifikace	esterifikace, polyester
materiál	matérie, materiální, materialista, materielní
lajdák	Lajda, lajdat
religiosní	religie, religiózní
telefon	telefonie, telefonní
biotest	Biotest, -bio-
koordináta	koordinátní, koordinovat, ordinovat
přástva	přást, příst, přistavit
multičára	čára, čmára
adidaska	Adidas, adidas
revertanta	revertantní, revertant
albánsku	albanský, albánský
paďour	dur, Paďour
perikarditis	perikard, perikarditida
skulina	skoulet, skul, koulet, skulovat
kompozit	kompozice, komponovat, kompozitní
pašík	pach, Pašek
ošusta	šustit, šus, ústit
antistatikum	statický, statek, statika, statik
křížokvětý	křížek, kříž, křižák
velbloudina	velbloud, velbloudí, velbloudník
výstav	vystavit, stav, stávat, výstava, výstavný
saponit	sapon, sapa, panovat
žídek	žid, židek, žnout
finálovka	finálový, finale, finále
topka	topit, top, Topina
drba	držet, dařit, dřít, drb
škůdný	škoda, škodit, šek
kornatec	kornatý, korek, korný
registra	registr, registrace
krachat	krachnout, krachovat, krach
líhnout	líhat, lehnout, líznout
udit	dít, ud
šašlík	šašlik, šašek
křižmo	kříž, křížový, kříb
chřupan	chroupat, chřoupat, chřupat, chrupat, chroupaný
pařát	pařit, para, přít, par
úkoj	ukojit, úkojný
teplachtivý	teple, plachtivý, teplý
komorář	komora, komorový, komorovat
šábnout	šábovat, šabat
hutný	huť, humit, hum
svor	svora, svírat, svářet
anaerobní	anaerob, naerobní, aerobní
nárok	rok, rokovat
semifinále	finále, finale
zakát	kát, hák
pesík	pes, peso
majorát	major, Major, majorita
zelenomodro	zelenomodrý, zeleno
flotátor	flota, flotace, flot
odklaďák	odkladní, odkládat
žebrotina	žebro, brát, žebrota, žrát
reduktan	reduktant, redukovat
termometrie	termometr, -term-, term, metrie
ariózo	arioso, arióza
kolba	kolovat, kolej, holba, kola, co
verbovné	verbovní, verbovat
přímý	přít, přát, příst, prát
taiči	taji, ta, taxi
civilizátor	civilizovat, civilní
multiatribut	tribut, atribut, art
pustula	pustý, pustit
řasík	řasa, rasa, řasný, řasit
lejno	lít, léno
dluž	dlužit, dluh, dlužný
škvarky	škvařit, škvarek
finka	Fin, Fina, Finka
vrták	vrtat, vrtný, vrtět, vrkat, vrt
hydrometeorologie	meteorologie, hydrometeor
nominále	nominální, nominál
žídě	žedit, žid
megatrend	trend, tendr, getr
tchán	Tchan, chán
smrk	smrkat, smrknout, mrknout, Smrk, mrkat
lahvovné	lahvovna, lahvovat
asignát	asignace, asignovat
haléř	halíř, hala
zmok	mok, moknout, zmoknout, moka, močit
čiřot	čeřit, čert, čiřit
akatize	kata, Kata
žhářstvo	žhářský, žhář, žhářství
mák	máknout, máma
polymerasa	polymer, polymerovat, polymerní
hanífa	hana, Hana, Haníf
lajka	láj, Lajka, lát, lák
demonstrativum	demonstrace, demonstrativní
irigace	irizovat, irisovat
kupáž	kupovat, kupa, koupat
zřít	zrýt, zrát, žít, jít, přít
exkurz	kurz, exkurze, exkurs
římsa	Řimsa, mísa
studentservis	studentský, student
tělka	telka, tulka
fosfoglukomutáza	fosfoglukomutaza, fosfoglukomutasa
smršť	smrtit, smrknout, smrštit
věště	věstit, věštit
barbína	Barbína, Barbe
kauzální	kauza, kaudální
jeřicha	Jeřicha, jeřík
sololit	sol, sůl
politika	pole, policie, politický
zbroj	zbrojit, Broz
bourovec	boura, Bourová
autokurz	autokurs, kurz
glukosa	glukoza, glukóza, sluka
lido	Lido, led
jakpak	jak, Jak
bácnout	bacat, bacit
šeptný	šeptat, šeptnout, šept
plískat	pleskat, plesknout
stoupit	stoupa, stoupat
pantok	pant, pan
farmaceutikum	farmaceutický, farmaceut
vůle	vole, vůl, vál, volha
majorán	major, Major
reprofilace	profilace, reprofilovat, profilovat
neřest	čest, rest
obrok	obr, obrat, obrus
konventuál	konvent, konvence
bouře	boura, bouřit, bourat
líceň	líce, líc, lícený
vnovo	novo, nový
velebit	levý, velebný
dužina	duh, duha
pětinásobný	pětinásobek, pět
ekostan	kost, stan, Kostan
multimédium	médium, medium
hasit	halit, halo
pucák	pouk, pocukat
exsportovec	sportovec, sport
koleno	kolo, kolon, kola
tamarín	Tamarin, Tamara, tamara
pentosan	ston, pence, pentosa
adventivní	advent, adventní
ekvalizer	ekvalizér, ekvální
blesk	Blesk, lesk, blesknout, tlesk, tlesknout, blýsknout, bleskat
sukulentář	sukulent, sukulentní
myšok	myš, myše
pulec	poluce, poulit
vržeň	vrhnout, vrhat, vrž
vykošťovák	vykosťovat, vykošťovat
levný	lev, levý, lovný, vlévat
romovka	Rom, Romo
modroušek	modrý, Modrý
strouhat	krouhat, rouhat, strouha, strouhnout
priorita	prior, Prior
prefixální	prefix, prefixní
konvenience	konvenovat, konvence
spermatogenze	spermatogenní, spermatogeneze
obraz	raz, razit, brát
balík	balit, bal, Bali, balet, bál, balka
birkinka	Birkin, činka
biolíh	líh, líha
wokenní	wokno, oko, okenní, okno
chlorofyl	chlór, chlor
pětiúhelník	pětiúhelný, pětiúhlý
letální	léta, létat, léto
ereska	Eres, sek
luňák	Luňák, luna, luňákův
filcovina	filcový, filc, Filc
žehrovák	žehrový, Žehrov
změt	mít, mez
kaňour	kanec, kňour
pendolino	Pendolino, pendolíno
kypřice	kypře, kypřit, kyprý
hřebí	hřeb, hrabat
onačí	onak, onaký
křupot	křoupat, křupat, křupnout
halasovsku	halasovský, halasit, halas
infuse	infuze, fuse
magnezium	magnézium, magna
škotit	škot, kotit
avionika	Avion, avia, avion, Avia
manóza	man, Man
pěchol	pěch, pěší, pěchovat
kopec	Kopec, kopit
blokant	blokace, blokovat, blok
žlutooce	žlutooký, žlutý
lokální	lokál, lokálka, lokálně
plocha	plochý, plochovat
skladištné	skladiště, skladný, skladní, sklad, skladně
masakrální	masakr, masa
krémovka	krémový, krém
filtrátor	filtrovat, filtrace, filtr
skřípat	skřípnout, skřípět
kuriozní	kuriózní, kurie, kuriosní, korium
čarolesklý	čarolesk, čaroleskle
prognoza	prognóza, prognozní, prognozovat
příroďák	přírodní, příroda
koterie	kotérie, kota
blyskat	blýskat, bleskat
organizer	organizovat, organizér, organizmus, organisovat
rakousku	rakouský, rak
žlutonoze	žlutonose, žlutonosý
cápek	cap, cak, cpát
lakýrna	lakýr, lák, lak
paprsek	pres, ples
zlý	zřít, zlít, zjet, zelí
duplikatura	duplikát, duplikátor, duplikace
aerobička	aerobik, aerobický
dalit	dál, ladit, dálný, lát, Dali
káchnout	kách, kýchat
lák	lak, lačný
turecku	turecký, Turec
psychopathologie	pathologie, psychopatologie
honkat	hon, honit, honák
paroloď	parole, parola, parolodní
povolávák	povolávat, polovávat, povolovat
autotest	test, auto
blepta	blebtat, bleptat, leptat
blepta	blebtat, bleptat, leptat
pilíř	pila, pílit
soupeř	sup, vat
hůře	horký, hoře, hora, hořký, hůra
kasoun	kasa, kasat
pryštit	prýštit, pryštívat
neteř	net, nést
popolétnout	popolétat, polétat
atlanticum	atlantický, Atlantik, atlant
vachtmistr	vachta, vachmistr
šašek	Šašek, šach, šek
zdát	dát, zdít, ztát
afinerie	afinovat, afinérie
sublunární	lunární, ulnární
sárí	sára, sátí
illegitimní	ilegitimní, legitimní
tygřice	tygr, tygřík
mapař	mapa, para, mapka, par, pas
vrch	vrchní, vrchný
maltezián	melta, malta
páka	pán, pak, pan
rozvoj	voj, vyjet, vjet
komsomolec	komsomol, komsomolský
klíč	kel, klít, klek
cyklotematika	cyklotéma, cyklotema
skvět	květ, skvít, skvost
sténat	setnout, stínat, stenat
kosmo	kosmý, kos, kosý, kosmos, Kosmo
egalitář	egalita, egal
budina	budit, bouda, dubina
kurtovné	kurt, Kurt, kurtovat
ladit	lad, ladný, lada
provize	vize, vizovat
colón	colon, Colón
sporogonie	sporogon, spora
berylióza	beryl, beryliosa, berylioza, berylium
diagnosa	diagnoza, diagnóza
leckdy	kdy, kde
bedrník	Bedrník, Bedrna, bedra
rozhor	rozehřát, rozehrát
spool	pool, polo
bečka	bekat, Bečka, bek, bát
diakonie	diákon, diakon, Diakonie
imperiální	imperiál, imperium, impérium
podpisovka	podpisový, podpisovat
arboreál	reál, boreál
čejka	Čejka, čít
mihot	mihat, míhat
vláče	vláčit, vláčet, vlak
biokys	Biokys, kys
reostat	ostat, stát
záda	zadat, zadmout
recipent	recipovat, recipient
adhezivita	adhezivní, adheze, adhezní
škvíkat	kviknout, kvikat, kvik
videografik	videografie, ideografie
stupit	stoupat, stoupit, stupeň, tupit
dlouhý	Dlouhý, dluh
šedota	šedý, šednout
štířit	štír, štíře
inventorář	inventor, invence
sudí	soudit, sud, sudý, soud
sudí	soudit, sud, sudý, soud
plucar	Plucar, pluk
biominerál	biominerální, minerál
scout	scat, sek
bondáž	Bondy, Bond, Bondo
zoře	zora, zřít, oř, zor
chlad	chladit, chladnout
kvazar	kvas, kvasit, kvasar
čupryna	čupr, čupřina
otruby	troubit, trouba, rub
agonie	Agon, agónie
fixater	fixa, fixace, fixovat
vatón	vaton, vát, vat
konvertor	konvertovat, konvert
designát	designace, design, designovat
horný	hora, Hora, horký
poloostrůvek	poloostrov, poloostrý
breberka	Breber, Brebera
žmolka	žmolek, šmolka
apologet	apologetika, apologie, apologetický
traktát	traktace, trakt
vvn	ven, van
choreografie	choreograf, chorea, choreografovat
zadu	duda, dur, dudy
válka	vál, valit, Vála
sápa	sapan, sápaný, sapa, sápat
kolista	kolo, kola, kolovat
sierra	síra, Sierra, siera
páví	páv, Páv, pávě, váh
morfóza	morf, morfický
videotelefon	videotelefonovat, videotelefonní, videotelefonie
procitat	procítat, procitnout
tarka	tanka, tar, tára, taka
vnovu	nova, novo, novu
artikule	artikul, artikulovat, kule
stihat	stíhat, stihnout
zvát	vát, vít, vézt
zvát	vát, vít, vézt
paží	paže, páže, psát, pažní
majlont	malý, mail
žengla	ženit, žena
nástavbář	nástavba, stavba, zástavba, nástavek, nástavec
rezitý	rez, zrát
osmiproudovka	osmiproudový, osmiproudý
syntaxon	syntax, syntaxe
autovýrobce	autovýroba, výrobce
karosiér	karosa, karosovat, karosář, karosérie
fajka	Faja, Fajka, fatka
grantovka	grantový, grant, Grant
efuse	efuze, fuse
stoupa	stupa, stúpa, stopa
klonit	clonit, klon, lekno
dodatý	dodat, dodo
nacionál	nacionální, nacionalizmus
invertor	invertovat, inverze
konziliář	koncilium, konzilium, koncil
mokrosolený	solený, smolený, skolený
videat	video, videovat
cyklovar	cyklus, cyklovat, cykl, cyklit
mlada	mladý, mladit
značkovka	značkovat, značkový
obout	zout, dout
dolerit	dole, dolet
reparant	reparace, reparovat, preparace
elektrit	elektrický, elektrika
bahno	Bahno, hanit, Bahn, hanět
bředat	břed, břednout
piketa	pika, píka, piké
zrak	rak, krát, kra
pardálí	pardál, dále
tlakáč	tlak, tlakový
funky	funk, Funk, funkie
svoloč	sválet, svolat, svolit
dom	dům, dým, dominovat, dóm, domina
dom	dům, dým, dominovat, dóm, domina
kyselý	kysat, Kyselý, kys
mystérium	mysterium, mystérie
klopota	klopit, klopotat, klopotit, klopovat, klopot
reducent	redukce, redukovat
reducent	redukce, redukovat
stálo	stálý, stát, taj
buřena	bouřený, bouřit
tatarec	tatar, tatarský, táta
celakant	celek, cele
homofon	homofonie, -fon-
sukot	suk, soukat
justice	just, justovat, Just
normálium	normální, normál, morální, normálie
břečťan	břečtan, Břečťan
milíř	milý, milovat
elektron	elektro, -elektr-, elektrický, Elektro
převor	vor, převářet
alanin	Alanin, Alana, Alan, Alanya
kulík	koule, kulit, koulet
cívka	céva, cítit
získat	skát, síknout, sekat, seknout, sek, skat
symetrie	-metr-, metrie
stínovka	stínový, stín
řečit	řeč, řečík, říct
ortýlek	ortel, orýt
rituálium	rituál, rituální
obilí	obití, oble, oblít
elektret	elektrický, elektrit
elektromateriál	materiál, materiální
tříštit	tříšť, třeštit
mentální	mentál, mentálka
klopna	klopit, klopný, klopa
arabsku	arabský, rabský
cukatura	cukat, cuketa
chrtice	chrt, chrtík
krčma	krčit, krmit
nádcha	nádech, nadchnout
metastaza	metastáza, meta
stoupat	ťupat, koupat
mastix	mastit, mastif
švorcák	švorc, Švorc
kvák	kvak, květ, kvačit
znov	znít, znova
hák	Hák, hýkat, Hak
proryv	prorýt, prorývat
androgynie	androgyn, androgynní
slizce	slizký, sliz, slizovat
sajtna	jachta, jasný
žolice	žolík, lože
píka	Píka, pícka, píce
autoveterán	veterán, auto
ryzka	ryzí, ryzák
důle	dole, dolný, dolní, dol, dolovat
štěrbák	Štěrbák, Štěrba
šluknout	šluk, šlukovat
peroba	poroba, proba
vlha	vlhnout, vlhat, leh, lhát
břízokvětý	bříza, břízka
impresum	impressum, imprese
zem	zeman, zemský
znoj	znít, znojit, znát
kvantizér	kvantum, kvantizovat
klnout	klek, klít, lek
regresát	regrese, regres
veřejný	veřej, veřeje, veřejka
lohnout	leh, hod
sambo	samba, Sambo, ambo
snída	snídat, sen
obskok	obskočit, obský, skok
bubalus	Bubalus, bubalis
absurdistán	absurdizmus, Absurdistán, Absurdistan
kalifornsku	kalifornie, Kalifornie, kalifornium, kalifornský
novella	novela, Novella
iDnes	idnes, Ines
čétija	četa, čít
penzion	penze, pension
sátí	sát, sátý, tát, vát, satí
fosfit	fosfor, fosfid
přesný	přísný, přesít, přesát
šalina	salina, šalinka
trypanosomiasa	trypanosomiáza, trypanozomiáza
adsorpce	sorpce, adsorbovat, adsorbce
polosvětlý	světlý, polosvět
krušec	Krušec, krušit
metelit	metla, telit, metal, let
grotesk	grot, groteska
kynout	kyat, kydat, hynout
presbyterián	presbyter, presbyterium, presbyterní
camorrista	camorra, camorristický
mandin	Mandina, Mandin, manda, Manda
stoj	stát, stojný
hůdě	hodit, hod, hody
dvouproudý	dvojproudý, dvojproud
kubík	Kubík, Kuba, kuba, kubista
plenum	plán, plénum, plenit
penální	penále, penál, peán
prvý	ven, prdět
stolovka	stolový, stůl
hrb	hrbit, Hrb
hromadírna	hromada, hrom
absoluce	absolvovat, absolutní
rezato	rezatý, zato
kníže	kněz, kniha
autocentrum	centrum, Autocentrum
srkat	srknout, srk, krk, sek, trkat
piloťák	pilotový, pilotní
dubióza	dub, dubiosa
šteláž	steláž, štelovat
marianum	Marian, Mary
klikaťák	klikat, klikatý, klikatit
plavý	plát, plat, plít, plavat
zrkat	zkrátit, krk
periarteriitis	arteriitis, arteritis
rusalie	rusý, Rus, rus
vískat	skát, skat, skýtat, ský
xeróza	sexus, seróza
manichejec	manichejský, mání
subjektivum	subjektivní, subjekt
exjunior	junior, Junior
žedit	žít, žid
artikula	artikule, artikulovat, artikul
nacionálie	nacionální, nacionál, nacionalizmus, nacionalista
sekvojec	sekvoj, Sekvoj, sekvojový
střenka	sten, střen
plast	plást, plat
astat	stát, tnout, as
anýzovník	anýzový, anýz
praetorián	pretorián, praetor, pretor
perlík	Perl, Perlík, perk
výčep	vyčepovat, výčepní, vyčepit
baleno	balený, balit, balet, Baleno, lano
distén	stín, disten
kopat	kopnout, kop, kopit, kopa, kopec, kopka
balneo	Balneo, Balnea
pense	penze, pant, pence, psát
adorant	adorace, adorovat
kuolár	koule, koulovat
tinkal	tikat, tikaný
anorektikum	anorektický, anorexie
pantun	pant, Tun, pan
pádit	pád, pádný
propozice	proponovat, pozice, proposice
koberec	Kober, Koberec
tabák	Tabac, Taba
fonetika	fonovat, gen
imperativ	imperativní, imperium
output	tupý, put, tupat
depozitor	depozice, depozit
vznikat	vzniknout, vniknout
banjo	bán, Ban, ban
strašák	strach, strašný, strachy, strachový
logista	logistika, log, logo
šmelináříček	šmelinářka, šmelinář
borin	bóra, borba
siný	sít, sině, sát
velkostát	velký, velkost
pěkno	pěkný, pět, Pěkný
trvalo	trvalý, trvat, trvaný
tyřet	týřet, tetra
kokoška	kokošek, kokoska, Kokoška
minimotorka	motorka, mentorka
čin	jin, nit
argentina	Argentina, Argentan, Argent
malbyt	malba, malovat, malý
automobil	automobilový, mobil
granulit	granule, granula
močan	moč, močka, močit
smuta	smutný, smutit
tlecí	tlít, tlo
partyka	Partyka, party
zinkat	zinknout, zinek
amorfní	morní, morf
tribunát	tribuna, tribun
pojit	jít, ej, pájet
technofobie	techno, -fob-
traťák	trať, Thracie
franchisant	franšizant, franšízant
promycelium	mycelium, promycel
šnorchlař	šnorchl, šnorch, šnorchlovat
balista	bál, balistika, balza, bal
šprcka	šprtec, šprtat, šprt
nevod	vodní, vodný
billroth	Billroth, bill
sukcessor	sukcesor, sukcesse
vzdychavka	vzdychavý, vzdychávat, vzdychavec
kosmatý	kosmo, kosmý
retka	tetka, tkát
takto	tak, takt, také
záhy	zahynout, zahybovat
kritikus	kritický, kritika
depozitum	depositum, depozit
krajta	krajka, krájet
polofantazijní	polofantastický, fantazijní
fandoušky	fanda, fandit
radikulární	radikula, radikální
vilemína	Vilemína, vila
eukalypt	eukalyptus, eukalyptový
paťáro	pata, paťár
pejorativum	pejorace, pejorativní
milicurie	curie, milice
exnova	nova, vat
adamantinoma	adamantina, adamantin, adamantan
pažit	paží, páže, paže
pažit	paží, páže, paže
špejchaře	špýchar, špejchar
čílit	čelit, čelo
zármut	zarmoutit, rmut
izometadon	isometadon, metadon
