oblomovština	oblomovský, Oblomovský
vověnčit	věnec, věnčit
snovačovitý	snovač, snovat
voprdět	prdět, prst
volánkovitý	volánek, Volánek, volán, volánkový
vokounět	okounět, okoukat
vodstavit	stavit, vstavit, tavit, odstavit
brázdovitý	brázda, Brázda
vodhlásit	hlásit, hlásný
bublinkovač	bublinkovat, bublinka
vláknění	vláknit, vlákno
bulvovitý	bulva, Bulva, bulvový
vitaminosnost	vitaminosní, vitaminózní
vikomtství	vikomt, vikomství
vidějící	vidět, vědět, viset
součinění	činitelný, činit
básnířství	básnířský, básníř
vaničkovitý	vanička, vana
Radošiná	Radoš, Radošín
vagonkář	vagonka, vagónka
spřažený	spřáhnout, spřahat, spřahaně
spřažení	spřáhnout, spřahat, spřahaně
srabařství	srabařský, srabař, srab
učerněnec	učernit, učerněný
uzapáchat	zapáchat, páchat
uzlíčkovitý	uzlíček, uzlík
srdíčkář	srdéčko, srdíčko
uvězněnec	uvězněný, uvěznit
uvěčnit	věčný, věčno, věřit, věk
uvláčivší	uvláčit, uvláčet
utištění	utichnout, utišit
utlačenec	utlačený, utláčený, utlačit
usápnout	sápat, usápat, cápnout
uschovavatel	uschovávat, schovávat, uschovatel
urovnavatel	urovnávat, orovnávat, rovnávat
upřílišnit	příliš, přílišný
umísťovač	umísťovat, umisťovat
cukrdlátko	cukrdle, cukr
ukřiknutý	křiknout, okřiknout
ujímavost	ujímat, jímavý
cézarství	cézar, cézský
uhlíkovitý	uhlík, Uhlík
uctnostnit	ctnost, ctnostný
uchichtat	chechtat, chichtat
ubědovanost	obědovaný, bědovaný
ubrzděný	ubrzdit, brzdit
Písečná	písečný, Písek
denuncianství	denunciantský, denunciant
Glinská	Glinski, Klinský
strannost	strana, stranový
stárkovství	stárkovský, stárek
tálibánec	Taliban, Talibán, Talibanec
stříbrnicky	stříbrnický, stříbrný
subparticipační	participační, participace
suburbanizovaný	urbanizovaný, urbanizovat
docelit	celý, let, telit
dohlazování	dohlasovat, pohlazovat
dohihňaný	dohihňat, hihňat
dokrvit	krmit, krčit
dokonavatel	dokonávat, dokovávat, dokovat
donosnost	donosný, nosní, nosnost
doosídlenec	doosídlený, osídlenec, doosídlit
Popelná	popelný, Popel
dostřižení	dostříhnout, dostřihnout, dostříhat
dostřelná	střelný, dostřílet
svoditel	svést, svádět
dovolenkařit	dovolenkář, dovolenka
dovotáčet	otáčet, votáčet
dožvýknout	žvýknout, dožvýkat, žvýkat
dražebnictví	dražebnický, dražební, dražebník
sňavší	snít, senát
drobíček	drobek, Drobík, Drobek, drob
drobníček	Drobník, drobek
drožkařit	drožkař, drožka, drožkář
drozdíček	drozdík, drozd
tovaryšství	tovaryšský, tovaryš, Tovaryš
drábkovitý	drábek, dráček, drátek, Drábek, drápek
drátění	drát, dát
držebnost	držební, držba
