neozednářský	zednářský
polosocialistický	polosocializmus, polosocialismus
ultrarelativistický	relativistický
klerofašistický	klerofašista, klerofašizmus, klerofašismus
protinarkotický	narkotický
klassický	klasika, klasik, klas, klasický
austroněmecký	německý, mecký
transatlantický	atlantický
podsaharský	saharský
uměleckoakustický	umělecký
transgenetický	genetický, genetika
středoplatónský	střed
starochuchelský	starý
epigenetický	epigeneze, genetický
vysokotlaký	vysokotlak
středoanglický	střed
protislovenský	slovenský
tragický	tragedie
zelenokrký	zelený
mimostranický	stranický
exstrakonický	strakonický
černoprdelnický	černoprdelník
telekinematický	telekineze
postdemokratický	postdemokracie
politbyrokratický	politbyrokrat
intuicionistický	intuicionista, intuicionizmus, intuicionismus
protiseleukovský	seleukovský
onaký	onak
krátký	krát, kráčet
velikopanský	velkopanský
středoegyptský	střed
komiský	komise
libovoučký	libý, libový
východoindický	východní
mělký	mělko
imunoanalytický	imunoanalýza
eklektický	eklektik
šopský	op
nanokrystalický	nanokrystal, krystalický
konciliaristický	konciliarizmus, konciliarismus
jasnooký	jasno
klimatoterapeutický	klimatoterapie
psovský	pes
širokoboký	široboký
červenostonký	červenost
eklamptický	eklampsie
poststalinský	stalinský, poststalinismus
polokatolický	katolický
exmostecký	mostecký
modrooký	modrý
celomoravský	moravský
polykrystalický	polykrystal
malostranský	stranský
poloanarchistický	anarchistický
afotický	afonie
starohorský	starohory
expísecký	písecký
suprematistický	suprematizmus, suprematista
mnohostranický	stranický, strana
hořký	horký
protický	próza
staroitalský	starý
pyrometalurgický	metalurgický
ergoterapeutický	ergoterapie
technorobotický	techno
exboleslavský	boleslavský
nukleosyntetický	nukleosyntéza
postkubistický	postkubizmus, kubistický, postkubismus
poloeliptický	eliptický
finskošvédský	finský
mezispojenecký	spojenecký
polobolševický	bolševický
hrdinskoepický	hrdinský
velkodrůbežárenský	velkodrůbežárna
hezký	hezko
postneorealistický	neorealistický
královehradecký	královéhradecký
hiphoperský	hiphoper, hiphop
starořímský	starý
morfogenetický	morfogeneze
široký	širo, širý
dlouhoruký	dlouhý
monosylabický	sylabický, sylaba
rovnotlaký	rovno
orogenický	orogen, orogén
muský	museum, muset
protispolečenský	společenský
expříbramský	příbramský
vědeckotechnický	vědecký
anglonormanský	normanský
středohornoněmecký	střed
severogermánský	sever
velkomocenský	velkomocný
křivooký	křivý, křivka
malooký	malý
makrospolečenský	společenský
rychlosprávkárenský	rychlosprávkárna
horšovskotýnský	horšovský
předshakespearovský	shakespearovský
tmavooký	tmavý
severoirácký	severoirácky
postsynaptický	synaptický
středoafghánský	střed
semipalatinský	palatinský
zlatooký	zlato
karákóramský	karakoramský
filosofickohistorický	filozofický
uralskoaltajský	uralský
agropotravinářský	potravinářský
horký	horka, hrát, hořký
afrokaribský	frak
dolnoegyptský	dolní, dolný
středoněmecký	střed
středovelkoruský	střed
lacký	lak, lák, lakový
polymetalický	metalický, polymetal
exkarlovarský	karlovarský
polokulaťoučký	polokulatý
indomalajský	malajský
středoitalský	střed
starojesenčanský	staro
staroíránský	starý
ischematický	ischemie, schematický
středovietnamský	střed
středoafrický	střed
středoelamský	střed
mnohoruký	mnohý
ský	sek, ska, ski
polycentrický	polycentrizmus, centrický
mechanoakustický	mechanizmus
západoslovanský	západ
podkrušnohorský	krušnohorský
postčeskoslovenský	československý
hornopožárský	požár
středoasyrský	střed
dolnorychnovský	dolní
středoevropský	střed
protinapoleonský	napoleonský
poloparazitický	poloparazit
multilingvistický	multilingvizmus, multilingvismus
středooceánský	střed
šikmooký	šikma, šikmý
středoaustralský	střed
mimospolečenský	společenský
vnitroodborářský	vnitro
středomoravský	střed
podbělohorský	bělohorský
podkarpatoruský	karpatoruský
středoatlantský	střed
smutnooký	smutný
dolnodunajský	dolní, dolný
jihobosenský	jih
západomongolský	západ
středoopavský	střed
dolnorakouský	dolní
křesťanskoafrický	křesťanský
vnitrorakouský	vnitro
západoslavonský	západ
vnitroevropský	vnitro
jihonizozemský	jih
latinskoamerický	latinský, latinka
kriminalistickotechnický	kriminalistický
plynárenskoenergetický	plyn
nízkoalkoholický	nízko
