rank	lemma	freq	ipm	derivational family	deriavational family 2	root of DeriNet tree id	root from DeriNet	slovesná třída	vzor	prefix 4	prefix 3	prefix 2	prefix 1	foreign prefix 2	foreign prefix 1	odprefixované slovo	prefix-Jarka souhlasí se Slavíčkovou	morph segm Slavickova	morph segm DeriNet	morph segm FlatCat	ammel	foreign	odprefigované sloveso segmentované	bez KS	bez iterativních S	kandidát na kořen	derivační S	derivační S 2	derivační S 3	iterativní S	iterativní S 2	iterativní S 3	iterativní S 4	KS	number of frames	Derinet parent	note	compos 1	interfix	prefix 3	prefix 2	prefix	suffix	compos 2	comb form 1	comb form 2
101	zůstávat	16602	137,31	stát		stát#V???---??-??I??	zů(stá)vat	5	dělá				zů			stávati	Y	zů stá v a t	zů s tá va t	zůst áva t	tavátsůz	0	stá v a t	stá v	stá	stá				v				a	15	zvostat#V???---??-??P??										
102	sedět	16455	136094	sedět		sedět#V????--??-??I??	(sed)ět	4	trpí							seděti	Y	sed ě t	sedě t	sed ě t	tědes	0	sed ě t	sed	sed	sed								ě	10	None										
103	použít	16424	135838	žít		žít#V????--??-??I??	pou(ží)t	3	kryje			po	u			žíti	Y	po u ží t	po u ží t	po u ží t	tížuop	0	ží t	ží	ží	ží									1	užít#V????--??-??P??										
104	držet	16401	135648	držet		držet#V????--??-??I??	(drž)et	4	trpí							držeti	Y	drž e t	drž e t	drž e t	težrd	0	drž e t	drž	drž	drž								e	18	None										
105	uvádět	16372	135408	vést		vést#V????--??-??I??	u(vád)ět	4	sází				u			váděti	Y	u vád ě t	u v á d ě t	u vád ě t	tědávu	0	vád ě t	vád	vád	vád								ě	9	uvést#V????--??-??P??										
106	zaplatit	16067	132885	platit		platit#V????--??-??I??		4	prosí				za			platiti	Y	za plat i t	za pl at i t	za plat it	titalpaz	0	plat i t	plat	plat	plat								i	4	platit#V????--??-??I??										
107	vycházet	15952	131934	chodit		chodit	vy(cház)et	4	sází				vy			cházeti	Y	vy cház e t	vy cház e t	vy cház e t	tezáhcyv	0	cház e t	cház	cház	cház								e	15	vyjít#V???---??-??P??										
108	odejít	15832	130942	jít		jít#V???---??-??I??	ode(jí)t	1	nese				ode			jíti	Y	ode jí t	od e j í t	ode jí t	tíjedo	0	jí t	jí	jí	jí									5	jít#V???---??-??I??										
109	využít	15713	129958	žít		žít#V????--??-??I??	vyu(ží)t	3	kryje			vy	u			žíti	Y	vy u ží t	vy u ží t	vy u ží t	tížuyv	0	ží t	ží	ží	ží									1	užít#V????--??-??P??										
110	umět	15625	129,23	umět		umět#V????--??-??I??	(um)ět	4	sází							uměti	Y	um ě t	um ě t	um ě t	těmu	0	um ě t	um	um	um								ě	3	None										
111	předpokládat	15574	128808	klást		klást#V????--??-??I??	předpo(klád)at	5	dělá			před	po			kládati	Y	před po klád a t	před po klá d a t	před po klád a t	tadálkopdeřp	0	klád a t	klád	klád	klád								a	4	pokládat#V????--??-??I??										
112	odpovídat	15364	127071	vědět		vědět#V????--??-??I??	odpo(víd)at	5	dělá			od	po			vídati	Y	od po víd a t	od po ví d a t	odpovída t	tadívopdo	0	víd a t	víd	víd	víd								a	5	odpovědět#V????--??-??P??										
113	podívat	15175	125508	dívat		dívat#V????--??-??I??		5	dělá				po			dívati	Y	po dív a t	po díva t	pod ívat	tavídop	0	dív a t	dív	dív	dív								a	9	dívat#V????--??-??I??										
114	zahájit	15079	124714	hájit		hájit#V????--??-??I??		4	prosí				za			hájiti	Y	za háj i t	za háj i t	zaháji t	tijáhaz	0	háj i t	háj	háj	háj								i	1	hájit#V????--??-??I??										
115	zeptat	14978	123879	ptát		ptát#V???---??-??I??	ze(pt)at	5	dělá				ze			ptati	Y	ze pt a t	ze pta t	zep t a t	tatpez	0	pt a t	pt	pt	pt								a	1	ptát#V???---??-??I??										
116	odpovědět	14965	123771	vědět		vědět#V????--??-??I??	odpo(věd)ět	4	trpí			od	po			věděti	Y	od po věd ě t	od po vě d ě t	odpověd ě t	těděvopdo	0	věd ě t	věd	věd	věd								ě	4	povědět#V????--??-??P??										
117	ztratit	14863	122927	tratit		tratit#V????--??-??I??		4	prosí				z			tratiti	Y	z trat i t	z tr at i t	z tra t it	titartz	0	trat i t	trat	trat	trat								i	7	tratit#V????--??-??I??										
118	prodat	14809	122481	dát		dát#V????--??-??P??		5	dělá				pro			dati	Y	pro d a t	pro d a t	pro d a t	tadorp	0	d a t	d	d	d								a	2	dát#V????--??-??P??										
119	hrozit	14761	122084	hrůza		hrůza#NNF??-----A---?	(hroz)it	4	prosí							hroziti	Y	hroz i t	hroz i t	hroz it	tizorh	0	hroz i t	hroz	hroz	hroz								i	4	hrůza#NNF??-----A---?										
120	sledovat	14686	121464	sled		sled#NNI??-----A---?	(sled)ovat	3	kupuje							sledovati	Y	sled ova t	sled ov a t	sled ova t	tavodels	0	sled ova t	sled	sled	sled								ova	4	sled#NNI??-----A---?										
121	přesvědčit	14626	120967	vědět		vědět#V????--??-??I??	pře(svěd)čit	4	prosí			pře	s			vědčiti	S	pře s věd č i t	pře svědč i t	přesvědč it	tičděvseřp	0	věd č i t	věd č	věd č	věd	č							i	2	svědčit#V????--??-??I??										
122	zabývat	14531	120182	být		být#V???---??-??I??	za(bý)vat	5	dělá				za			bývati	Y	za bý v a t	zabýva t	za býva t	tavýbaz	0	bý v a t	bý v	bý	bý				v				a	1	zabýt#V????--??-??P??										
