\	dech–N	dýchat–V						
\	páchnout–V	zapáchat–V						
	zápach–N	zapáchat–V						
\	úprk–N	prchat–V						
\	pero–N	prchat–V						
\	Číňanka–N	čínský–A						
	Čína–N	čínský–A						
\	Číňan–N	čínský–A						
	Čína–N	čínský–A						
	Kolín–N	kolínský–A						
	Kolín–N	kolínský–A						
	Venezuela–N	Venezuelec–N						
\	venezuelský–A	Venezuelec–N						
	umět–V	umělec–N						
\	umění–N	umělec–N						
\	umělý–A	umělec–N						
\	Kadlec–N	tkadlec–N						
	tkát–V	tkadlec–N						
\	Mongol–N	Mongolec–N						
	Mongolsko–N	Mongolec–N						
	Provence–NC	Provensálec–N						
	Provence–NC	Provensálec–N						
\	ranař–N	rána–N						
\	zranit–V	rána–N						
	blond–A	blondýna–N						
\	blonďák–N	blondýna–N						
\	clonit–V	clona–N						
\	záclona–N	clona–N						
	svítit–V	svítilna–N						
\	světlo–N	svítilna–N						
	Andalusie–N	Andalusan–N						
	Andalusie–N	Andalusan–N						
	Oděsa–N	Oděsan–N						
	Oděsa–N	Oděsan–N						
\	Michal–N	Michaela–N						
	Michael–N	Michaela–N						
\	kúra–N	kuratela–N						
\	kurátorka–N	kuratela–N						
	kurátor–N	kuratela–N						
\	novelizovat–V	novela–N						
\	znovelizovat–V	novela–N						
	Daniel–N	Daniela–N						
\	Dana–N	Daniela–N						
\	střílet–V	střela–N						
\	střelec–N	střela–N						
	střelit–V	střela–N						
	mladý–A	mládež–N						
\	mládě–N	mládež–N						
\	mládí–N	mládež–N						
\	kradený–A	krádež–N						
	krást–V	krádež–N						
\	ukradnout–V	krádež–N						
\	ukrást–V	krádež–N						
	Gal–N	Galie–N						
\	galský–A	Galie–N						
\	anglistka–N	Anglie–N						
\	anglický–A	Anglie–N						
\	anglista–N	Anglie–N						
\	karelština–N	Karélie–N						
\	karelský–A	Karélie–N						
\	hodinky–N	hodina–N						
\	hodiny–N	hodina–N						
\	hodit–V	hodina–N						
\	hoďka–N	hodina–N						
\	hodina–N	čtvrthodina–NC						
\	čtvrt–N	čtvrthodina–NC						
\	kam–D	kampak–D						
\	kdypak–D	kampak–D						
\	kde–D	kdepak–D						
\	kde–D	kdepak–D						
\	opačný–A	naopak–D						
	opak–N	naopak–D						
\	aristotelizmus–N	aristotelovec–N						
	Aristoteles–N	aristotelovec–N						
\	ovdovět–V	vdovec–N						
\	ovdovělý–A	vdovec–N						
\	násobek–N	násobilka–N						
	násobit–V	násobilka–N						
	zaslat–V	zásilka–N						
\	poslat–V	zásilka–N						
\	vrah–N	matkovrah–N						
\	matka–N	matkovrah–N						
\	vrah–N	otcovrah–N						
\	otec–N	otcovrah–N						
\	vrah–N	královrah–N						
\	král–N	královrah–N						
\	vrah–N	bratrovrah–N						
\	vraždit–V	bratrovrah–N						
\	bratr–N	bratrovrah–N						
\	vražedný–A	bratrovrah–N						
\	vražda–N	bratrovrah–N						
\	obtížný–A	obtíž–N						
\	tíže–N	obtíž–N						
\	odtamtud–D	tamtéž–D						
\	tam–D	tamtéž–D						
\	nadbytek–N	zbytek–N						
\	být–V	zbytek–N						
	zbýt–V	zbytek–N						
\	zbytečně–D	zbytek–N						
\	zbylý–A	zbytek–N						
\	zbývat–V	zbytek–N						
\	nadbytek–N	přebytek–N						
\	být–V	přebytek–N						
	kapsa–N	kapesné–N						
\	kapesní–A	kapesné–N						
\	cesta–N	cestovné–N						
	cestovat–V	cestovné–N						
\	kombinace–N	kombiné–N						
\	kombinovat–V	kombiné–N						
\	kombinéza–N	kombiné–N						
\	předplácet–V	předplatné–N						
	předplatit–V	předplatné–N						
\	předplatitel–N	předplatné–N						
\	kostní–A	masokostní–A						
\	maso–N	masokostní–A						
\	poutník–N	poutní–A						
	pouť–N	poutní–A						
\	účetní–N	účetní–N						
	účet–N	účetní–N						
\	účtenka–N	účetní–N						
	šatna–N	šatní–A						
\	šat–N	šatní–A						
	spořit–V	spořitelna–N						
\	Spořilov–N	spořitelna–N						
\	ředitelka–N	ředitelna–N						
	ředitel–N	ředitelna–N						
	suchý–A	suše–D						
\	sušený–A	suše–D						
\	sucho–N	suše–D						
\	mešní–A	mše–N						
\	mise–N	mše–N						
\	ticho–N	tiše–D						
	tichý–A	tiše–D						
	plochý–A	ploše–D						
\	plocha–N	ploše–D						
\	vyslat–V	odeslat–V						
\	zaslat–V	odeslat–V						
\	poslat–V	odeslat–V						
\	zaslat–V	poslat–V						
\	posel–N	poslat–V						
\	poselkyně–N	poslat–V						
\	vyslat–V	poslat–V						
\	poselstvo–N	poslat–V						
\	zásilka–N	zaslat–V						
\	vyslat–V	zaslat–V						
\	poslat–V	zaslat–V						
\	redakce–N	redigovat–V						
\	redaktor–N	redigovat–V						
\	šéfredaktor–NC	redigovat–V						
\	korektor–N	korigovat–V						
\	korektura–N	korigovat–V						
\	korektní–A	korigovat–V						
\	smyčka–N	smyk–N						
\	mykat–V	smyk–N						
	smýkat–V	smyk–N						
\	jazykovědkyně–N	jazyk–N						
\	jazykovědný–A	jazyk–N						
