\	Pavel–N	Pavlína–N		Pavla				
\	ciferný–A	pěticiferný–AC	cifra					
\	psát–V	písemnictví–N		písemný				
\	čest–N	počest–N	ctít	poctít				
\	počítat–V	počty–N	čítat	počet				
\	chuť–N	pochoutka–N		pochutnat				
\	kecat–V	pokec–N		pokecat				
\	nepokoj–N	upokojit–V	pokoj	pokojný				
\	posera–N	poseroutka–N	posrat	posrat				
\	dosavadní–A	doposud–D	dosavad	posud				
	šukat–V	pošuk–N						
\	potentát–N	potenciál–N		potence				
\	potřebovat–V	opotřebit–V		potřeba–N				
\	napoprvé–D	napotřetí–D	poprvé	potřetí				
\	toulavý–A	potulný–A	toulat	potulovat				
\	velet–V	povel–N		povelit				
\	pozorování–N	zpozornět–V	pozorovat	pozorný				
\	pravý–A	vpravo–D		pravo				
\	srát–V	průser–N		prosrat				
\	postoj–N	prostoj–N	postát	prostát				
\	švihnout–V	průšvih–N		prošvihnout				
\	instance–N	prvoinstanční–AC						
\	prostřít–V	předstírat–V		předestřít				
\	předloha–N	předkládat–V	předložit	předložit				
	tušit–V	předtucha–N						
	převis–N	převislý–A						
\	vléct–V	převlek–N		převléct				
\	běhat–V	přibíhat–V						
\	překlep–N	příklep–N	překlepnout	přiklepnout				
\	spona–N	přípona–N	sepnout	připnout				
\	razit–V	příraz–N		přirazit				
\	přísahat–V	přísežný–A		přísaha				
\	zracionalizovat–V	racionální–A	racionalizovat	racio				
\	radost–N	rozradostnit–V		radostný				
	edukace–N	reedukace–N						
	rotace–N	rotor–N						
\	přít–V	rozpor–N		rozepřít				
\	rýže–N	rýžoviště–N		rýžovat				
	číst–V	sečtělý–A						
\	šestnáctka–N	sedmnáctka–N	šestnáct	sedmnáct				
\	schod–N	schůdný–A		sejít				
\	sekundér–N	sekundant–N		sekundovat				
\	pnout–V	spínat–V		sepnout				
\	sunout–V	sesun–N		sesunout				
\	třít–V	stírat–V		setřít				
\	úhrn–N	souhrn–N	uhrnout	shrnout				
\	chráněný–A	schrána–N	chránit	schránit				
\	silný–A	siloměr–N						
\	skála–N	skalnička–N		skalní				
\	krčit–V	skrček–N		skrčit				
\	slovanský–A	slavizmus–N	Slovan	Slávie				
\	smyk–N	smyčec–N	smýkat	smýkat				
\	sosák–N	násoska–N	sosat	sosat				
\	čin–N	součin–N		součinit				
\	odpočívat–V	spočívat–V						
\	růst–N	srostlý–A		srůst–V				
\	stáří–N	staře–D		starý–A				
\	strana–N	nestranný–A		stranný				
\	kultura–N	subkultura–N						
\	Světlana–N	Světluška–N		světluška				
\	vít–V	svíjet–V		svinout				
\	titanový–A	titaničitý–A	titan	titan				
\	tmavě–D	vytmavit–V	tmavý	tmavý				
\	Tomáš–N	Tomek–N		Tom				
\	trávník–N	zatrávnit–V	tráva	tráva				
\	trh–N	tržiště–N		tržit				
\	čtvrtohory–N	třetihory–N						
\	běhat–V	ubíhat–V						
\	ufon–N	ufoun–N	ufo	ufo				
\	uhlík–N	zuhelnatit–V		uhelnatý				
\	újezd–N	Újezdec–N		Újezd				
\	slovo–N	úsloví–N		uslovit				
\	stav–N	ústav–N		ustavit				
\	strčit–V	ústrk–N		ustrčit				
\	žít–V	užitný–A		užít				
\	váček–N	vačice–N	vak	vak				
\	válečný–A	poválečný–A	válka	válka				
\	Václav–N	Vašík–N		Vašek				
\	vaz–N	vazký–A	vázat	vázat				
\	odvětit–V	odveta–N		veta–N				
\	vídat–V	vid–N		vidět				
\	vrch–N	Vrchlický–N		Vrchlice				
\	průtok–N	vtok–N	protéci	vtéci				
\	vtip–N	vtipkář–N		vtípek				
\	dech–N	výdech–N		vydechnout				
\	výfuk–N	vyfukovat–V	vyfouknout	vyfouknout				
\	krut–N	výkrut–N	kroutit	vykroutit				
\	výluka–N	výlučný–A	vyloučit	vyloučit				
\	mést–V	vymetat–V		vymést				
\	vařit–V	vývar–N		vyvařit				
\	zadní–A	nazad–D		záď				
\	zahloubení–N	záhlubník–N	zahloubit	zahloubit				
\	hnědý–A	záhněda–N		zahnědnout				
\	mést–V	zamítat–V		zamést				
	povídat–V	zapovídat–V	povědět					
\	zásuvka–N	zásuvný–A	zasunout	zasunout				
\	vít–V	závit–N		zavít				
\	doznat–V	naznat–V	znát	znát				
\	žebřík–N	žebřina–N	žebř	žebř				
\	chuť–N	ochutit–V						
\	okamžik–NC	okamžitý–A						
\	taškář–N	taškařice–N	taška					
\	lhůta–N	Lhota–N						
\	geocaching–NC	cache–A						
\	chalkopyrit–NC	pyrit–N						
\	videokazeta–NC	kazeta–N						
\	svatvečer–N	večer–N						
\	břichomluvec–NC	břicho–N						
\	bordelmamá–NC	bordel–N						
\	ikonostas–NC	ikona–N						
\	infrastruktura–NC	struktura–N						
\	kružítko–N	kruh–N	kroužit					
§	džudo–N	judo–N						
§	systematický–A	systém–N						
§	humanistický–A	humanismus–N						
§	tibetský–A	Tibet–N						
§	nebesa–N	nebe–N						
\	čeřen–N	čeřit–V						
§	sestřenice–N	sestra–N						
§	Bechyňsko–N	Bechyně–N						
§	obuv–N	obout–V						
§	Brunšvicko–N	Brunšvik–N						
§	Macháček–N	Machač–N						
\	efebofilie–NC	eféb–N						
§	kozel–N	koza–N						
§	Rosický–N	Rosice–N						
\	jizlivost–N	jízlivý–A	jizlivý					
§	hostel–N	hotel–N						
§	plaťák–N	plato–N						
\	brandenburský–A	Brandenburk–N						
§	plachetnice–N	plachta–N						
§	klokočí–N	klokoč–N						
§	caudillizmus–N	caudillo–N						
§	taťka–N	táta–N						
§	krájet–V	krojit–V						
§	vraný–A	vrána–N						
§	broskvoň–N	broskev–N						
\	frazeologie–NC	fráze–N						
§	oceanárium–N	oceán–N						
\	předsednictvo–N	předseda–N						
§	nohavice–N	noha–N						
§	albinismus–N	albín–N						
§	katastrální–A	katastr–N						
§	sibylský–A	Sibyla–N						
§	rafinérie–N	rafinovat–V						
\	boloňský–A	Bologna–N						
§	bzukot–N	bzučet–V						
§	jarmarečník–N	jarmark–N						
§	kanoista–N	kánoe–N						
\	mumifikovat–VC	mumie–N						
\	katalánský–A	Katalánie–N						
§	pouze–D	pouhý–A						
§	tropický–A	tropy–N						
§	pantoflíček–N	pantofel–N						
§	plemeník–N	plemeno–N						
§	Břevnov–N	břevno–N						
\	pepřenka–N	pepř–N						
§	radost–N	radovat–V						
\	sesmolit–V	smola–N						
\	zruinovat–V	ruina–N						
§	Perseidy–N	Perseus–N						
§	Ryba–N	ryba–N						
§	Barmánec–N	Barma–N						
\	Mongolsko–N	mongol–N		Mongol				
§	nálezce–N	nalézt–V						
§	Naďa–N	Naděžda–N						
\	přistehovat–V	steh–N						
§	biblizmus–N	bible–N						
§	ostří–N	ostrý–A						
§	polař–N	pole–N						
§	Litevec–N	Litva–N						
§	Opočenský–N	Opočno–N						
§	chodský–A	Chod–N						
§	sirotek–N	sirý–A						
§	trafikant–N	trafika–N						
\	zvadnout–V	vadnout–V						
§	kladský–A	Kladsko–N						
§	zánik–N	zanikat–V						
§	bandita–N	banda–N		band				
\	protetický–A	protéza–N						
\	konsekutivně–D	konsekuce–N						
\	ctižádost–N	čest–N		ctít				
\	schránka–N	schraňovat–V		chránit				
\	nabídka–N	nabízet–V	nabídnout					
\	zohyzdění–N	zohyžďovat–V						
§	optimalizovat–V	optimální–A		optimum				
§	pomlčka–N	pomlka–N		pomlčet				
§	příštipkář–N	příštipek–N		přištípnout				
§	přízvuk–N	zvuk–N						
	rafinovat–V	finesa–N						
§	slzet–V	slza–N						
§	prádelna–N	prát–V						
\	zpolitizovat–V	politika–N						
\	vznikat–V	unikat–V						
\	box–N	beatbox–N						
\	dítě–N	bezdětek–N		bezdětný				
\	bílý–A	bělohlavý–A						
\	hrad–N	Bělehrad–N						
\	rys–N	bokorys–N						
\	člověk–N	bohočlověk–N						
\	libý–A	bohulibý–A						
\	oxid–N	sulfoxid–N						
\	tisk–N	hlubotisk–N						
\	hokej–N	hokejbal–N						
\	dokola–D	koldokola–D						
\	hodina–N	půlhodina–N						
\	hotel–N	botel–N						
\	kúra–N	manikúra–N						
\	bůh–N	zbůhdarma–D						
\	adrenalin–N	noradrenalin–N						
\	symbiont–N	symbióza–N						
\	car–N	Cařihrad–N						
\	lán–N	čtvrtlán–N						
\	čtvrt–N	čtvrtlitr–N						
\	dávný–A	dávnověký–A						
\	brát–V	dechberoucí–AC						
\	ocas–N	devítiocasý–AC						
\	noha–N	dvounohý–A						
\	stopa–N	dvoustopý–A						
\	koruna–N	dvousetkoruna–NC						
	manžel–N	exmanžel–N						
	ministr–N	exministr–N						
	šéfredaktor–NC	exšéfredaktor–NC						
\	granát–N	granátomet–N						
	hacker–N	hacking–N	hackovat					
\	hrách–N	Hracholusky–N						
\	vodík–N	chlorovodík–NC						
\	jasně–D	rozjasnit–V	jasný	jasný				
\	hlas–N	jednohlasý–A						
\	stopa–N	jednostopý–A						
\	oko–N	jednooký–A						
\	vejce–N	jednovaječný–AC						
\	kníže–N	knížepán–N						
\	koza–N	kozoroh–N						
\	krajina–N	krajinomalba–NC	kraj					
	kývat–V	kyv–N						
\	léto–N	letokruh–N						
\	líh–N	lihoměr–N						
\	maso–N	masopust–N						
\	medvěd–N	medvědobijka–NC						
\	manžel–N	mnohomanželný–AC						
\	nácek–N	nacionalismus–N	nacionalista	nacionální				
\	nadřít–V	nádor–N	dřít	nadrat				
	šedivý–A	našedivělý–A						
\	člověk–N	opočlověk–N						
	opium–N	opiát–N						
\	finále–N	osmifinále–N						
\	stovka–N	osmistovka–N	sto					
\	ozón–N	ozonosféra–N						
\	haléř–N	padesátihaléř–NC						
	pást–V	pastevec–N						
\	pec–N	pecivál–N						
\	hydrát–N	pentahydrát–N						
\	pět–V	pětiměsíční–AC						
\	pět–V	pětitisícovka–NC						
\	pět–V	pětitýdenní–AC						
\	napoprvé–D	napodruhé–D	poprvé	podruhé				
\	skála–N	Podskalí–N		podskalí				
\	napoprvé–D	napopáté–D	poprvé	popáté				
\	tah–N	průtah–N	táhnout	protáhnout				
\	brát–V	přebor–N		přebrat				
\	znalec–N	půdoznalec–N	znalý					
\	kilo–N	půlkilo–N						
\	kruh–N	půlkruh–N		%				
\	lán–N	půllán–N						
\	rána–N	ranhojič–N						
\	proud–N	silnoproud–N						
\	směr–N	směrodatný–A						
\	smrt–N	smrtonosný–A						
\	srdce–N	srdceryvný–A						
\	Rakušan–N	Starorakušan–N						
\	vražda–N	synovražda–N						
\	věk–N	šedověk–N						
\	štika–N	štikozubec–N						
\	tady–D	tadyhle–D						
\	tam–D	tamtudy–D						
\	tma–N	potměšilý–A						
\	hrot–N	tříhrotý–A						
\	vlk–N	vakovlk–N						
\	hra–N	veselohra–NC	hrát					
\	vedení–N	vedoucí–N	vést	vést				
\	vrhnout–V	vývrh–N		vyvrhnout				
\	vždy–D	vždyzelený–A						
\	žeh–N	zážeh–N		zažehnout				
\	věda–N	zdravověda–N						
\	zlatý–N	zlatoústý–A						
\	zvracet–V	zvratky–N	zvrátit	zvrátit				
\	koulet–V	kulatý–A						
	recepce–N	recepční–A						
	taj–N	potají–D						
	prohlédnout–V	průhledítko–N						
	Lichtenštejnsko–N	lichtenštejnský–A						
	švec–N	Švec–N						
	dosavad–D	dosavadní–A						
	spravit–V	správný–A						
	pospas–N	napospas–D						
	rovina–N	nadrovina–N						
	abstrakcionismus–N	abstrakcionista–N						
	judaismus–N	judaistika–N						
	sympatický–A	sympaťák–N						
	kořalka–N	kořalečník–N						
	absorbovat–V	absorpce–N						
	manšestr–N	manšestráky–N						
	obout–V	obuv–N						
