# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
Marka	N
Marsyus	N
Marzuppino	N
Massaccio	N
Mbundo	N
Meherdates	N
mechanisovávat	V
Mieranu	N
miniaturisovávat	V
minimalisovávat	V
Mínotaurus	N
Minoos	N
Mínós	N
mobilisovávat	V
Mocenigo	N
monopolisovávat	V
motorisovávat	V
multiscannovávat	V
multiskannovávat	V
multiskanovávat	V
multiskennovávat	V
multiskenovávat	V
mýdelník	N
načernat	V
načervenat	V
načervivět	V
nafialovět	V
nahluchnout	V
nahnědnout	V
nahoustnout	V
nainicialisovávat	V
najodovávat	V
namobilisovávat	V
namodrat	V
naplesnivět	V
narudnout	V
nascannovávat	V
naskannovávat	V
naskanovávat	V
naskennovávat	V
naskenovávat	V
nasládnout	V
nastabilisovávat	V
nastírat	V
nastrukturalisovávat	V
nasynchronisovávat	V
nasystematisovávat	V
našikmit	V
našporovávat	V
našpórovávat	V
natýkat	V
natrpknout	V
natuchnout	V
naturalisovávat	V
naumazat	V
navaselinovávat	V
navitaminisovávat	V
navolizovávat	V
nažluknout	V
neutralisovávat	V
Nikoklos	N
Ningirsu	N
Niuserree	N
normalisovávat	V
novelisovávat	V
ňufání	N
nýtovník	N
obhroubnout	V
objektivovávat	V
obtýkat	V
obtloustnout	V
obydlit	V
obytňák	N
očurat	V
odautomatisovávat	V
odcensurovávat	V
oddupat	V
odfáčovat	V
odinicialisovávat	V
odklimatisovávat	V
odmobilisovávat	V
odnacisovávat	V
odnahrát	V
odosobnět	V
odscannovávat	V
odsignalisovávat	V
odsířovat	V
odskannovávat	V
odskanovávat	V
odskennovávat	V
odskenovávat	V
odšlejfovávat	V
odtučnět	V
odvitaminisovávat	V
ohražovávat	V
Okeanos	N
olézt	V
omobilisovávat	V
omšet	V
optimalisovávat	V
organisovávat	V
Oronooko	N
osamostatnět	V
osamotnět	V
osmáhnout	V
ošuntět	V
otrsat	V
Ovimbundo	N
ovitaminisovávat	V
Pachomio	N
Pampeliška	N
panďulák	N
paralelisovávat	V
paralysovávat	V
parasitovávat	V
paskalizovávat	V
Passignano	N
pauperisovávat	V
Pečeněga	N
pensionovávat	V
Perusiles	N
Phoebus	N
pidibarák	N
pidichata	N
pidilyže	N
pidiměsto	N
pidirole	N
pidisálek	N
Pikle	N
pilírovat	V
pištucha	N
plet	V
poddubák	N
podehrát	V
podýchání	N
pojodovávat	V
pokoupání	N
polarisovávat	V
polonisovávat	V
polootupět	V
polootužit	V
polorozpadnout	V
poloroztát	V
polozapadnout	V
Polyfemos	N
pomobilisovávat	V
Pompili	N
Porfyrogenetos	N
pořádník	N
pošporovávat	V
potrsání	N
poumazat	V
precisovávat	V
Prisseos	N
proarchívovávat	V
procensurovávat	V
