@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: Alán --> Alánek	 pravidlo: N- --> N-ek
novy par: Alán --> Alánová	 pravidlo: N- --> N-ová
novy par: alan --> alanský	 pravidlo: N- --> A-ský
novy par: Alan --> Alanův	 pravidlo: N- --> A-ův
novy par: Alarcón --> Alarcónová	 pravidlo: N- --> N-ová
novy par: Alaves --> Alavesová	 pravidlo: N- --> N-ová
novy par: alba --> albový	 pravidlo: N-a --> A-ový
novy par: albánský --> albánství	 pravidlo: A-ký --> N-tví
novy par: Alberdi --> Alberdiová	 pravidlo: N- --> N-ová
novy par: Albert --> Albertův	 pravidlo: N- --> A-ův
@ novy par: Albertov --> Albertovec	 pravidlo: N- --> N-ec
novy par: Albertsen --> Albertsenová	 pravidlo: N- --> N-ová
novy par: Albier --> Albierová	 pravidlo: N- --> N-ová
novy par: Albin --> Albinův	 pravidlo: N- --> A-ův
novy par: albín --> albínův	 pravidlo: N- --> A-ův
novy par: albit --> albitový	 pravidlo: N- --> A-ový
novy par: albuminóza --> albuminózový	 pravidlo: N-a --> A-ový
novy par: Alcon --> Alconová	 pravidlo: N- --> N-ová
novy par: Aldama --> Aldamaová	 pravidlo: N- --> N-ová
novy par: Alden --> Aldenová	 pravidlo: N- --> N-ová
novy par: Alderman --> Aldermanová	 pravidlo: N- --> N-ová
novy par: Alderton --> Aldertonová	 pravidlo: N- --> N-ová
novy par: aldina --> aldinka	 pravidlo: N-a --> N-ka
novy par: Aldorf --> Aldorfová	 pravidlo: N- --> N-ová
novy par: Aldorino --> Aldorinová	 pravidlo: N- --> N-vá
novy par: Aldridge --> Aldridgeův	 pravidlo: N- --> A-ův
novy par: Aldrich --> Aldrichová	 pravidlo: N- --> N-ová
novy par: alegorizace --> alegorizační	 pravidlo: N-ce --> A-ční
novy par: Aleksejev --> Aleksejevová	 pravidlo: N- --> N-ová
novy par: Aleksijevič --> Aleksijevičová	 pravidlo: N- --> N-ová
novy par: alergen --> alergenový	 pravidlo: N- --> A-ový
novy par: Aleš --> Alešek	 pravidlo: N- --> N-ek
@ novy par: Aleš --> Aleška	 pravidlo: N- --> N-ka
novy par: Aleš --> Alešová	 pravidlo: N- --> N-ová
novy par: Aletti --> Alettiová	 pravidlo: N- --> N-ová
novy par: Alexandr --> Alexandrův	 pravidlo: N- --> A-ův
novy par: alexandrin --> alexandrinský	 pravidlo: N- --> A-ský
novy par: Alexandrovský --> Alexandrovská	 pravidlo: N-ý --> N-á
novy par: Alexis --> Alexisová	 pravidlo: N- --> N-ová
novy par: Alexovič --> Alexovičová	 pravidlo: N- --> N-ová
novy par: Alexy --> Alexyová	 pravidlo: N- --> N-ová
novy par: alfabetizace --> alfabetizační	 pravidlo: N-ce --> A-ční
novy par: Alf --> Alfův	 pravidlo: N- --> A-ův
novy par: Alferi --> Alferiová	 pravidlo: N- --> N-ová
novy par: Alford --> Alfordová	 pravidlo: N- --> N-ová
