lemma	parents
vědomostíchtivý	vědomost chtít
čočekchtivý	čočka chtít
školekchtivý	školka chtít
flašekchtivý	flaška chtít
housekchtivý	houska chtít
památekchtivý	památka chtít
panoramatchtivý	panorama chtít
zvířatchtivý	zvíře chtít
drbůchtivý	drb chtít
pohybuchtivý	pohyb chtít
koláčůchtivý	koláč chtít
zvěduchtivý	zvěd chtít
rozvoduchtivý	rozvod chtít
golfuchtivý	golf chtít
swinguchtivý	swing chtít
poslechuchtivý	poslech chtít
domkuchtivý	domek chtít
šokuchtivý	šok chtít
dárkůchtivý	dárek chtít
večírkůchtivý	večírek chtít
zákuskůchtivý	zákusek chtít
metáluchtivý	metál chtít
góluchtivý	gól chtít
nákupuchtivý	nákup chtít
kilometrůchtivý	kilometr chtít
sýruchtivý	sýr chtít
kontaktuchtivý	kontakt chtít
zpěvuchtivý	zpěv chtít
slevchtivý	sleva chtít
ragbychtivý	ragby chtít
platbychtivý	platba chtít
svatbychtivý	svatba chtít
četbychtivý	četba chtít
vodychtivý	voda chtít
vraždychtivý	vražda chtít
hvězdychtivý	hvězda chtít
skleničkychtivý	sklenička chtít
technikychtivý	technika chtít
kritikychtivý	kritika chtít
erotikychtivý	erotika chtít
láskychtivý	láska chtít
zkouškychtivý	zkouška chtít
svalychtivý	sval chtít
sezónychtivý	sezóna chtít
pomstychtivý	pomsta chtít
slávychtivý	sláva chtít
trnoploutvý	trn ploutev
biobandáž	-bio- bandáž
kořenokaz	kořen kazit
biosiláž	-bio- siláž
videokoláž	video koláž
autokoláž	-aut- koláž
dvouobraz	dvě hlava
psychomasáž	-psych masáž
biomasáž	-bio- masáž
automasáž	-aut- masáž
poloreportáž	půl reportáž
vrubořez	vrub řezat
stereověž	stereo věž
dvoukříž	dvě kříž
