obepsati_None	opsati_None
kušte_None	kuš_None
navalovati_None	navaliti_None
polabský_None	Polaban_None
školení_None	školiti_None
vytopovati_None	vytápěti_None
nedostižnost_None	nedostižný_None
epiteliální_None	epitel_None
doznávati_None	doznati_None
škvěkot_None	škvěkat_None
receptní_None	recept_None
kolchidský_None	Kolchis_None
tamť_None	tam_None
oklika_None	okl_None
vléknouti_None	vleknoutl_None
vléknouti_None	vléci_None
archaističnost_None	archaický_None
granadýrsky_None	granatýr_None
sádrovnický_None	sádrařský_None
jazykový_None	jazyk_None
neodbytnost_None	neodbytný_None
kobereček_None	koberec_None
vyšklebovat_None	vyšklibovat_None
sekáček_None	sekáč_None
přezkušovati_None	přezkoušeti_None
přezkušovati_None	zkušovati_None
monumentalizovati_None	monumentalisovati_None
hematoxylinový_None	hematoxylin_None
podvědomost_None	podvědomý_None
průbojnictví_None	průbojnický_None
muškatelový_None	muškatel_None
smyslnice_None	smyslník_None
polymerie_None	polymer_None
naklevetiti_None	klevetiti_None
kotlíček_None	kotlík_None
kotlíček_None	kotel_None
rozhlučeti_None	hlučeti_None
roztažnost_None	roztažný_None
navažovati_None	navážiti_None
svěceníček_None	svěceník_None
inženýrský_None	inženýr_None
dalmatský_None	Dalmácie_None
sléhati_None	léhati_None
sléhati_None	slehnouti_None
novoplatonismus_None	novoplatonik_None
rozdloubati_None	dloubati_None
vyžebrati_None	žebrati_None
faryngitida_None	faryngitis_None
okružní_None	okruh_None
okružní_None	okružní_None
sytě_None	sytý_None
sukýnečka_None	sukýnka_None
sukýnečka_None	sukně_None
loutkářský_None	loutkář_None
žitní_None	žitný_None
možno_None	možný_None
možno_None	nemožný_None
zapochybovati_None	pochybovati_None
rusadelný_None	rusadla_None
aktovkový_None	aktovka_None
dovaliti_None	valiti_None
labužnicky_None	labužnický_None
zomrzovat_None	zomrzet_None
rostek_None	letorost_None
Ámos_None	Amos_None
březáček_None	březák_None
kryohydratický_None	kryohydrát_None
magnetometrický_None	magnetometr_None
markýzský_None	markýz_None
rád_None	nerad_None
pomuckat_None	muckat_None
zacuckovat_None	cuckovat_None
dřevotiskový_None	dřevotisk_None
rozvichřiti_None	vichřiti_None
vyšloupnout_None	šloupnout_None
vytónovati_None	tónovati_None
štambilkovat_None	štampilkovat_None
pohostinnost_None	pohostinný_None
dispenzarizace_None	dispensarisace_None
počárati_None	čárati_None
počárati_None	počmárati_None
splavnost_None	splavný_None
škrample_None	škramp_None
lucerka_None	lucina_None
plachtařka_None	plachtař_None
postříkávati_None	postřikovati_None
tejný_None	tajný_None
tufový_None	tuf_None
psychologizovati_None	psycholog_None
rozmnožovati_None	rozmnožiti_None
poodchlípnouti_None	poodchlípiti_None
jímávati_None	jímati_None
obložený_None	obložiti_None
zledovatěle_None	zledovatělý_None
trudovatý_None	trudovitý_None
hořlavě_None	hořlavý_None
přízrakový_None	přízrak_None
žilnatost_None	žilnatý_None
zápočtový_None	zápočet_None
kapronový_None	kapron_None
nalinkovati_None	linkovati_None
odženštovati_None	odženštiti_None
výčepný_None	výčepní_None
kolážový_None	koláž_None
zachovalost_None	zachovalý_None
oklamávati_None	oklamati_None
bolzanovec_None	bolzanista_None
kompensačně_None	kompensace_None
šachovní_None	šach_None
brouzdávati_None	brouzdati_None
bytostný_None	bytost_None
polebedit_None	lebedit_None
krčemní_None	krčma_None
semiokluzívní_None	semioklusiva_None
hmatavě_None	hmatavý_None
vyhraditi_None	hraditi_None
kastrolek_None	kastrol_None
tantalský_None	Tantalos_None
skučivě_None	skučivý_None
důležitostnost_None	důležitostný_None
stupnička_None	stupnice_None
ročně_None	roční_None
napočítávati_None	napočítati_None
mlíti_None	mlíti_None
mlíti_None	semlíti_None
ministryně_None	ministr_None
odstříkati_None	stříkati_None
jedibaba_None	ježibaba_None
vylíčiti_None	líčiti_None
fyziografický_None	fyziografie_None
plsť_None	plst_None
kurážnost_None	kuráž_None
marxisticky_None	marxismus_None
sedelní_None	sedlo_None
zvášnivěti_None	vášnivěti_None
volitelka_None	volitel_None
repetentka_None	repetent_None
přebrusliti_None	brusliti_None
judista_None	džudista_None
cyanóza_None	cyanosa_None
přiškobrtat_None	škobrtat_None
miliónový_None	milionový_None
miliónový_None	milion_None
bařeniště_None	bařisko_None
ukvapiti_None	kvapiti_None
kilim_None	kelim_None
realistka_None	realista_None
šroubovati_None	šroubovati_None
textilnicky_None	textilnický_None
hádankovitost_None	hádankovitý_None
svárlivě_None	svárlivý_None
majetkoprávně_None	majetkoprávní_None
odstrkavost_None	odstrkavý_None
spartanský_None	Sparťan_None
spartanský_None	sparťan_None
výkupní_None	výkup_None
paralelně_None	paralelní_None
