# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

derivation	parent
břinkat#V????--??-??I??	brnkat#V????--??-??I??
brnět#V????--??-??I??	brnkat#V????--??-??I??
briketa#NNF??-----A---?	brok#NNI??-----A---?
brokolice#NNF??-----A---?	brokát#NNI??-----A---?
brouk#NNM??-----A---?	broukat#V????--??-??I??
brusle#NNF??-----A---?	brousit#V????--??-??I??
brčál#NNI??-----A---?	brslen#NNI??-----A---?
břečťan#NNI??-----A---?	brslen#NNI??-----A---?
bobr#NNM??-----A---?	brunátný#AA???----??---?
brunet#NNM??-----A---?	brunátný#AA???----??---?
brečet#V????--??-??I??	bréca#NNF??-----A---?
baculatý#AA???----??---?	buclatý#AA???----??---?
bookmaker#NNM??-----A---?	buk#NNI??-----A---?
býk#NNM??-----A---?	bukač#NNM??-----A---?
bučet#V????--??-??I??	bukač#NNM??-----A---?
buldok#NNM??-----A---?	buly#NNNXX-----A----
boule#NNF??-----A---?	buňka#NNF??-----A---?
vrátit#V????--??-??P??	buřt#NNI??-----A---?
vrstva#NNF??-----A---?	buřt#NNI??-----A---?
pugét#NNI??-----A---?	buš#NNF??-----A---?
vrčet#V????--??-??I??	bzučet#V????--??-??I??
bzikat#V????--??-??I??	bzučet#V????--??-??I??
boj#NNI??-----A---?	bít#V????--??-??I??
bízet#Vf--------A----	bič#NNI??-----A---?
vřískat#V????--??-??I??	břeskný#AA???----??---?
vercajk#NNI??-----A---?	cajk#NNI??-----A---?
cupat#V????--??-??I??	capat#V????--??-??I??
ťapat#V????--??-??I??	capat#V????--??-??I??
kauza#NNF??-----A---?	causerie#NNF??-----A---?
cesta#NNF??-----?---?	cedit#V????--??-??I??
štěkat#V????--??-??I??	ceknout#V????--??-??P??
celofán#NNI??-----A---?	cela#NNF??-----A---?
celulóza#NNF??-----A---?	cela#NNF??-----A---?
teleologie#NNF??-----A---?	clo#NNN??-----A---?
játra#NNN??-----A---?	jitrocel#NNI??-----A---?
cézura#NNF??-----A---?	cement#NNI??-----A---?
kát#V???---??-??I??	cena#NNF??-----A---?
excentrický#AA???----??---?	centrum#NNN??-----A---?
činže#NNF??-----A---?	cenzura#NNF??-----A---?
recenze#NNF??-----A---?	cenzura#NNF??-----A---?
sapér#NNM??-----A---?	cepín#NNI??-----A---?
matka#NNF??-----A---?	dcera#NNF??-----A---?
bratr#NNM??-----A---?	dcera#NNF??-----A---?
otec#NNM??-----A---?	dcera#NNF??-----A---?
koryfej#NNM??-----A---?	cerebrální#AA???----??---?
chobot#NNI??-----A---?	chabý#AA???----??---?
heřmánek#NNI??-----A---?	chameleon#NNM??-----A---?
charita#NNF??-----A---?	charisma#NNN??-----A---?
karta#NNF??-----A---?	charta#NNF??-----A---?
kotec#NNI??-----A---?	chata#NNF??-----A---?
chatrč#NNF??-----A---?	chata#NNF??-----A---?
cepenět#V????--??-??I??	chcípat#V????--??-??I??
otrok#NNM??-----A---?	chlap#NNM??-----A---?
rab#NNM??-----A---?	chlap#NNM??-----A---?
robě#NNN??-----A---?	chlap#NNM??-----A---?
chlemtat#V????--??-??I??	chlastat#V????--??-??I??
klopit#V????--??-??I??	chlopeň#NNF??-----A---?
lord#NNM??-----A---?	chléb#NNI??-----A---?
dychtit#V???---??-??I??	chlípný#AA???----??---?
sangvinik#NNM??-----A---?	cholerik#NNM??-----A---?
flegmatik#NNM??-----A---?	cholerik#NNM??-----A---?
chumel#NNI??-----A---?	chumáč#NNI??-----A---?
