+	dvojradličnost_^(*3ý) N	0.996747261083448	NEW: dvojradličný A	OLD: dvojradlický A
+	dvojslabičnost_^(*3ý) N	0.996747261083448	NEW: dvojslabičný A	OLD: dvojslabický A
+	dvouslabičnost_^(*3ý) N	0.996747261083448	NEW: dvouslabičný A	OLD: dvouslabický A
+	osmislabičnost_^(*3ý) N	0.996747261083448	NEW: osmislabičný A	OLD: osmislabický A
+	prostocvičnost_,a_^(*3ý) N	0.996747261083448	NEW: prostocvičný_,a A	OLD: prostocvický A
+	pětiradličnost_^(*3ý) N	0.996747261083448	NEW: pětiradličný A	OLD: pětiradlický A
+	pětislabičnost_^(*3ý) N	0.996747261083448	NEW: pětislabičný A	OLD: pětislabický A
+	trojslabičnost_^(*3ý) N	0.996747261083448	NEW: trojslabičný A	OLD: trojslabický A
+	čtyřradličnost_^(*3ý) N	0.996747261083448	NEW: čtyřradličný A	OLD: čtyřradlický A
+	čtyřslabičnost_^(*3ý) N	0.996747261083448	NEW: čtyřslabičný A	OLD: čtyřslabický A
+	víceslabičnost_^(*3ý) N	0.996747261083448	NEW: víceslabičný A	OLD: víceslabický A
	veležádoucnost_,a_^(*3ý) N	0.996747261083448	NEW: veležádoucný_,a A	OLD: veležádoucí_,s A
+	antimoničnost_^(*3ý) N	0.996669028393174	NEW: antimoničný A	OLD: antimonický A
+	neprůzvučnost N	0.996669028393174	NEW: neprůzvučný A	OLD: neprozvučný A
+	přerozličnost_^(*3ý) N	0.996669028393174	NEW: přerozličný A	OLD: přerozlický A
+	podbráničnost_^(*3ý) N	0.996669028393174	NEW: podbráničný A	OLD: podbránický A
+	podkritičnost_^(*3ý) N	0.996669028393174	NEW: podkritičný A	OLD: podkritický A
	pomíjejícnost_^(*3ý) N	0.996669028393174	NEW: pomíjejícný A	OLD: pomíjející_^(*4t) A
+	supervlivnost_^(*3ý) N	0.996669028393174	NEW: supervlivný A	OLD: supervllivný A
+	tříslabičnost_^(*3ý) N	0.996669028393174	NEW: tříslabičný A	OLD: tříslabický A
	všemohoucnost_,a_^(*3ý) N	0.996669028393174	NEW: všemohoucný_,a A	OLD: všemohoucí A
	vševědoucnost_,a_^(*3ý) N	0.996669028393174	NEW: vševědoucný_,a A	OLD: vševědoucí A
+	luskovinoobilnost_^(*3ý) N	0.996626577246696	NEW: luskovinoobilný A	OLD: luskovinoobilní A
+	ropušnicotvárnost_^(*3ý) N	0.996626577246696	NEW: ropušnicotvárný A	OLD: ropušnicotvární A
+	kýchavičnost_^(*3ý) N	0.996588920542047	NEW: kýchavičný A	OLD: kýchavický A
+	mikrovlnnost_^(*3ý) N	0.996588920542047	NEW: mikrovlnný A	OLD: vlnnost_^(*3ý) N
+	mravoličnost_^(*3ý) N	0.996588920542047	NEW: mravoličný A	OLD: mravolický A
	nemohoucnost_^(*3ý) N	0.996588920542047	NEW: nemohoucný A	OLD: nemohoucí A
+	vejměničnost_,n_^(*3ý) N	0.996588920542047	NEW: vejměničný_,n A	OLD: vejměnický_,n A
	zoologičnost_,a_^(*3ý) N	0.996588920542047	NEW: zoologičný_,a A	OLD: zoologický A
+	rádobyposvátnost_^(*3ý) N	0.996545452009808	NEW: rádobyposvátný A	OLD: rádobyposvátní A
+	sebenenávistnost_^(*3ý) N	0.996545452009808	NEW: sebenenávistný A	OLD: sebenenávistní A
+	arzeničnost_^(*3ý) N	0.996506892897704	NEW: arzeničný A	OLD: arzenický A
+	břidličnost_^(*3ý) N	0.996506892897704	NEW: břidličný A	OLD: břidlický A
+	kukuřičnost_^(*3ý) N	0.996506892897704	NEW: kukuřičný A	OLD: kukuřický A
+	převlivnost_^(*3ý) N	0.996506892897704	NEW: převlivný A	OLD: převllivný A
+	vichřičnost_^(*3ý) N	0.996506892897704	NEW: vichřičný A	OLD: vichřický A
+	výměničnost_,h_^(*3ý) N	0.996506892897704	NEW: výměničný_,h A	OLD: výměnický_,s_,h A
	účinek N	0.996505093782891	NEW: účin_,l A	OLD:  
+	dvanáctižilnost_^(*3ý) N	0.996462382770167	NEW: dvanáctižilný A	OLD: dvanáctižilní A
+	koruškotvárnost_^(*3ý) N	0.996462382770167	NEW: koruškotvárný A	OLD: koruškotvární A
+	padesátižilnost_^(*3ý) N	0.996462382770167	NEW: padesátižilný A	OLD: padesátižilní A
+	rostlinomilnost_^(*3ý) N	0.996462382770167	NEW: rostlinomilný A	OLD: rostlinomilní A
+	sedmibolestnost_^(*3ý) N	0.996462382770167	NEW: sedmibolestný A	OLD: sedmibolestní A
+	vitaminodárnost_,s_^(*3ý) N	0.996462382770167	NEW: vitaminodárný_,s A	OLD: vitaminodární A
+	bezčasnost N	0.996422899780702	NEW: bezčasný A	OLD: bezčasí N
+	bromičnost_^(*3ý) N	0.996422899780702	NEW: bromičný A	OLD: bromický A
	žádoucnost_^(*3ý) N	0.996422899780702	NEW: žádoucný A	OLD: žádoucí A
	horoucnost_^(*3ý) N	0.996422899780702	NEW: horoucný A	OLD: horoucí A
	živoucnost_,s_^(*3ý) N	0.996422899780702	NEW: živoucný_,s A	OLD: živoucí A
+	křivičnost_^(*3ý) N	0.996422899780702	NEW: křivičný A	OLD: křivický A
+	mrtvičnost_^(*3ý) N	0.996422899780702	NEW: mrtvičný A	OLD: mrtvický A
+	přejícnost_^(*3ý) N	0.996422899780702	NEW: přejícný A	OLD: přející_^(*5át) A
+	přelivnost_^(*3ý) N	0.996422899780702	NEW: přelivný A	OLD: přellivný A
+	pšeničnost_^(*3ý) N	0.996422899780702	NEW: pšeničný A	OLD: pšenický A
+	slabičnost_^(*3ý) N	0.996422899780702	NEW: slabičný A	OLD: slabický A
+	stoličnost_^(*3ý) N	0.996422899780702	NEW: stoličný A	OLD: stolický A
+	éteričnost_,s_^(*3ý) N	0.996422899780702	NEW: éteričný_,s A	OLD: éterický A
	vědoucnost_,a_^(*3ý) N	0.996422899780702	NEW: vědoucný_,a A	OLD: vědoucí_^(*4ět) A
+	vězničnost_,s_^(*3ý) N	0.996422899780702	NEW: vězničný_,s A	OLD: věznický A
+	dlouhovláknost_^(*3ý) N	0.996377323280669	NEW: dlouhovlákný A	OLD: dlouhovlákní A
+	dvouradličnost_^(*3ý) N	0.996377323280669	NEW: dvouradličný A	OLD: dvouradlický A
+	chladnomilnost_^(*3ý) N	0.996377323280669	NEW: chladnomilný A	OLD: chladnomilní A
+	chvalozpěvnost_^(*3ý) N	0.996377323280669	NEW: chvalozpěvný A	OLD: chvalozpěvní A
+	živototvárnost_,s_^(*3ý) N	0.996377323280669	NEW: živototvárný_,s A	OLD: živototvární A
+	kratochvilnost_^(*3ý) N	0.996377323280669	NEW: kratochvilný A	OLD: kratochvilní A
+	krátkovláknost_^(*3ý) N	0.996377323280669	NEW: krátkovlákný A	OLD: krátkovlákní A
+	lososotvárnost_^(*3ý) N	0.996377323280669	NEW: lososotvárný A	OLD: lososotvární A
+	středněsilnost_^(*3ý) N	0.996377323280669	NEW: středněsilný A	OLD: středněsilní A
+	středocestnost_^(*3ý) N	0.996377323280669	NEW: středocestný A	OLD: středocestní A
+	studenomilnost_^(*3ý) N	0.996377323280669	NEW: studenomilný A	OLD: studenomilní A
+	velikotvárnost_,s_^(*3ý) N	0.996377323280669	NEW: velikotvárný_,s A	OLD: velikotvární A
	odtučnění_^(*3it) N	0.996376894112546	NEW: odtučnět A	OLD: odtučnit_:W V
+	doličnost_^(*3ý) N	0.996336894440692	NEW: doličný A	OLD: dolický A
+	dušičnost_^(*3ý) N	0.996336894440692	NEW: dušičný A	OLD: dušický A
+	dusičnost_^(*3ý) N	0.996336894440692	NEW: dusičný A	OLD: dusický A
	žhoucnost_,a_^(*3ý) N	0.996336894440692	NEW: žhoucný_,a A	OLD: žhoucí_^(*4nout) A
+	živičnost_^(*3ý) N	0.996336894440692	NEW: živičný A	OLD: živický A
+	jodičnost_^(*3ý) N	0.996336894440692	NEW: jodičný A	OLD: jodický A
