vilička_N	vila_None
záložnička_N	záložna_None
Ančička_N	Anča_None
zádička_N	záda_None
kušnička_N	kušna_None

zátěrečka_N	zátěrka_None
dívečka_N	dívka_None
zásuvečka_N	zásuvka_None
várečka_N	várka_None
záklopečka_N	záklopka_None
lásečka_N	láska_None
vyhlídečka_N	vyhlídka_None
zátečka_N	zátka_None
loutečka_N	loutka_None
zlatečka_N	zlatka_None
lebečka_N	lebka_None
štipečka_N	štipka_None
trnečka_N	trnka_None
známečka_N	známka_None
látečka_N	látka_None
kmotřenečka_N	kmotřenka_None
obálečka_N	obálka_None
volavečka_N	volavka_None
pohádečka_N	pohádka_None
vzpomínečka_N	vzpomínka_None
žárovečka_N	žárovka_None
podrážečka_N	podrážka_None
čičorečka_N	čičorka_None
vložečka_N	vložka_None

růženeček_N	růženec_None
šediveček_N	šedivec_None
zajateček_N	zajatec_None
puleček_N	pulec_None
vyslaneček_N	vyslanec_None
kojeneček_N	kojenec_None
špinaveček_N	špinavec_None
vlasteneček_N	vlastenec_None
kmotřeneček_N	kmotřenec_None
zaměstnaneček_N	zaměstnanec_None
koreček_N	korec_None
cizineček_N	cizinec_None
kotrmeleček_N	kotrmelec_None
nalezeneček_N	nalezenec_None
kostliveček_N	kostlivec_None
ustrašeneček_N	ustrašenec_None
zbaběleček_N	zbabělec_None
poslaneček_N	poslanec_None
sobeček_N	sobec_None
zplozeneček_N	zplozenec_None
kopaneček_N	kopanec_None
žabeček_N	žabec_None
štipeček_N	štipec_None
zadumaneček_N	zadumanec_None
mazaneček_N	mazanec_None

hvězdka_N	hvězda_None
slívka_N	slíva_None
črtka_N	črta_None
operka_N	opera_None
Lidunka_N	Liduna_None
robka_N	roba_None
karikaturka_N	karikatura_None
Lotka_N	Lota_None
kartka_N	karta_None
balzamínka_N	balzamína_None
spáleninka_N	spálenina_None
sraženinka_N	sraženina_None
Karolínka_N	Karolína_None
kupka_N	kupa_None
Jenůfka_N	Jenůfa_None
oblinka_N	oblina_None
reklamka_N	reklama_None
boudka_N	bouda_None
četinka_N	četina_None
Dorotka_N	Dorota_None
horka_N	hora_None
bagatelka_N	bagatela_None

vlastnůstka_N	vlastnost_None
pochybnůstka_N	pochybnost_None
vědomůstka_N	vědomost_None
podivnůstka_N	podivnost_None
známůstka_N	známost_None
umělůstka_N	umělost_None
osobnůstka_N	osobnost_None
jemnůstka_N	jemnost_None
událůstka_N	událost_None
zvyklůstka_N	zvyklost_None
zpozdilůstka_N	zpozdilost_None
žárlivůstka_N	žárlivost_None
záležitůstka_N	záležitost_None
výstřednůstka_N	výstřednost_None
řevnivůstka_N	řevnivost_None
zdvořilůstka_N	zdvořilost_None
drobnůstka_N	drobnost_None
veselůstka_N	veselost_None
usedlůstka_N	usedlost_None
pošetilůstka_N	pošetilost_None
pitomůstka_N	pitomost_None
zvláštnůstka_N	zvláštnost_None
roztomilůstka_N	roztomilost_None
hloupůstka_N	hloupost_None
špatnůstka_N	špatnost_None
vášnivůstka_N	vášnivost_None

koncesní_A	koncese_None
konfesní_A	konfese_None
dekompresní_A	dekomprese_None
pícní_A	píce_None
ložní_A	lože_None
palmární_A	palmáre_None
rolní_A	role_None
perkusní_A	perkuse_None
dveřní_A	dveře_None
inflexní_A	inflexe_None
recesní_A	recese_None
řeholní_A	řehole_None
nedělní_A	neděle_None
