44473	blanšírovat	blanšírovat_:T	V		
44497	blanžírovat	blanžírovat_:T	V		
44564	blasonovat	blasonovat_:T	V	44575	blason
44809	blazeovat	blazeovat_:T	V		
45618	blistrovat	blistrovat_:T	V	45629	blistr
45808	bloggovat	bloggovat_:T	V	45824	blog
45840	blogovat	blogovat_:T_,l	V	45824	blog
46274	bluesovat	bluesovat_:T	V	46263	blues
46315	bluffovat	bluffovat_:T	V		
46336	blufovat	blufovat_:T	V		
46778	bobovat	bobovat_:T	V	46749	bob
47359	bodovat	bodovat_:T	V	47318	bod
47424	bodyčekovat	bodyčekovat_:T_:W	V	47415	bodyček
47981	bohemizovat	bohemizovat_:T	V		
48125	bohovat	bohovat_:T_^(zaříkávat)	V		
48290	bohyňovat	bohyňovat_:T_^(zaříkávat)	V	48280	bohyně
48539	bojkotovat	bojkotovat_:T	V		
48598	bojovat	bojovat_:T	V		
49239	bolševizovat	bolševizovat_:T_:W	V	51527	bolševický
49371	bombardovat	bombardovat_:T	V	49346	bomba
49743	bonitovat	bonitovat	N	49728	bonita
49744	bonitovat	bonitovat_:T	V	49728	bonita
49847	bonovat	bonovat_:T	V	49822	bon
50088	bootovat	bootovat_:T	V		
51367	bosovat	bosovat_:T	V		
51543	botanizovat	botanizovat_:T	V	63609	botanický
51617	botičkovat	botičkovat_:T	V	51599	botička
52067	boulderovat	boulderovat_:T	V	52057	boulder
52090	bouldrovat	bouldrovat_:T	V	52057	boulder
52622	boxlovat	boxlovat_:T_,h	V		
52646	boxovat	boxovat_:T	V		
53304	brakovat	brakovat_:T	V	53295	brak
53562	brandovat	brandovat_:T_,t_^(uvádět_na_trh_)	V	53608	brand
53916	brasírovat	brasírovat_:T_^(pomalu_dusit)	V		
54115	bratříčkovat	bratříčkovat_:T	V	54106	bratříček
54570	breakovat	breakovat_:T_,l	V	54586	break
55626	briketovat	briketovat_:T	V	55605	briketa
56429	brokovat	brokovat_:T	V	56411	brok
56710	bronzovat	bronzovat_:T	V	56701	bronz
57181	brozovat	brozovat_:T	V		
57230	brožovat	brožovat_:T	V	57220	brož
58124	brutalizovat	brutalizovat_:T	V	58138	brutální
58398	brynýrovat	brynýrovat_:T	V		
59198	bubákovat	bubákovat_:T	V	59188	bubák
59402	bublinkovat	bublinkovat_:T	V	59386	bublinka
59458	bubnovat	bubnovat_:T	V	59269	buben
60053	budovat	budovat_:T	V		
60210	bufferovat	bufferovat_:T	V	60201	buffer
60387	buchancovat	buchancovat_:T_,n_^(tlouci)	V		
60475	buchcovat	buchcovat_:T	V		
60639	buchtovat	buchtovat_:T	V	60591	buchta
60898	bukovat	bukovat_:T_,l	V		
61186	bulharizovat	bulharizovat_:T	V	61207	bulharský
61238	bulíkovat	bulíkovat_:T	V	61253	bulík–N–bulík-1_^(mladý_vůl,_hlupák)
61410	bulvarizovat	bulvarizovat_:T	V		
61532	bumlovat	bumlovat_:T_,n	V		
61723	buntovat	buntovat_:T	V		
61757	bunzírovat	bunzírovat_:T_,l_^(bublat)	V		
61914	burcovat	burcovat_:T	V		
63248	buzerovat	buzerovat_:T_,h	V		
63332	bužírovat	bužírovat_:T	V		
63622	byrokratizovat	byrokratizovat_:T	V	75004	byrokratický
63878	bytovat	bytovat_:T	V	63848	byt
63955	byzantinizovat	byzantinizovat_:T	V	63968	byzantinský
64762	cálovat	cálovat_:T	V		
65377	caplovat	caplovat_:T_,h	V		
65965	carvovat	carvovat_:T_,h_,t_^(lyžovat)	V		
66076	casnovat	casnovat_:T_,n	V		
66606	cedovat	cedovat_:T	V		
66707	cechovat	cechovat_:T	V	66698	cech
66751	cejchovat	cejchovat_:T	V	66740	cejch
66908	celebrovat	celebrovat_:T	V		
67505	celovat	celovat_:T	V		
67666	cementovat	cementovat_:T	V	67645	cement
67896	centralizovat	centralizovat_:T_:W	V	67911	centrální
67939	centrifugovat	centrifugovat_:T_:W	V	67930	centrifuga
68004	centrovat	centrovat_:T	V		
68040	cenzorovat	cenzorovat_:T	V	68031	cenzor
68071	cenzurovat	cenzurovat_:T	V	68060	cenzura
68148	cepovat	cepovat_:T	V	68138	cep
68271	ceresinovat	ceresinovat_:T	V	68262	ceresin
68586	cestovat	cestovat_:T	V	68530	cesta
68697	cévkovat	cévkovat_:T	V	68688	cévka
69103	cifrovat	cifrovat_:T_^(provádět_cifrování;;opatřovat_čísly)	V	69092	cifra
69485	cílovat	cílovat_:T	V	69475	cíl
69814	cínovat	cínovat_:T	V	69796	cín
70054	cirkulovat	cirkulovat_:T	V		
70167	ciselovat	ciselovat_:W	V		
70363	citovat	citovat_:T	V		
70467	citýrovat	citýrovat_:T_:W_,h_,s_^(vyvolávat_duchy;;sužovat;;předvolat_zbytečně_nebo_proti_vůli)	V		
70532	civilizovat	civilizovat_:T_:W	V	70556	civilní
70602	cizelovat	cizelovat_:T	V		
71889	computerizovat	computerizovat_:T	V	71901	computer
72263	copyrightovat	copyrightovat_:T	V	72254	copyright
72902	couvat	couvat_:T	V		
73894	cukrovat	cukrovat_:T	V	73843	cukr
74224	cupovat	cupovat_:T	V		
74376	customizovat	customizovat_:T_:W_^(přizpůsobovat,_konfigurovat;_poč._odb.)	V		
74687	cvikovat	cvikovat_:T	V	74676	cvik
75043	cyklizovat	cyklizovat_:T	V	93205	cyklický
75685	cyklovat	cyklovat_:T	V	75762	cyklus
76396	čachrovat	čachrovat_:T	V		
76508	čajovat	čajovat_:T	V	76494	čaj
76657	čalounovat	čalounovat_:T	V	76648	čaloun
76815	čantovat	čantovat_:T	V		
76892	čapíkovat	čapíkovat_:T	V	<<<čapík>>>	
77028	čárkovat	čárkovat_:T	V	77012	čárka
77141	čarovat	čarovat_:T	V		
77342	časovat	časovat_:T	V	77262	čas
77442	častovat	častovat_:T	V		
77674	čechizovat	čechizovat_:T	V	77644	Čech
78047	čekovat	čekovat_:T_,h_^(kontrolovat)	V		
78110	čeledínovat	čeledínovat_:T	V	78101	čeledín
78533	čepovat	čepovat_:T	V	78517	čep
80769	česnekovat	česnekovat_:T	V	80759	česnek
80834	čestovat	čestovat_:T_,a	V	80822	čest
80961	četovat	četovat_:T	V	80909	četa
81579	činovat	činovat_:T_,a	V	81549	čin
81681	čipovat	čipovat_:T	V	81671	čip
81886	číslovat	číslovat_:T	V	81872	číslo
82084	číšníkovat	číšníkovat_:T	V	82075	číšník
82348	článkovat	článkovat_:T	V	82332	článek
82538	čmarykovat	čmarykovat_:T_,s	V	82507	čmárat
82967	čopovat	čopovat_:T_:W_,l	V		
83030	čórovat	čórovat_:T_,h_^(krást)	V		
83153	čpavkovat	čpavkovat_:T	V	83123	čpavek
83481	čtvercovat	čtvercovat_:T_,s	V	83503	čtverec
83513	čtverečkovat	čtverečkovat_:T	V	83504	čtvereček
86305	čunkovat	čunkovat_:T	V	86281	Čunek
86715	dabovat	dabovat_:T	V		
88476	darovat	darovat_:T_:W	V	88450	dar
88754	datlovat	datlovat_:T_,h	V	88727	datel
88784	datovat	datovat_:T	V	88811	datum
88824	datumovat	datumovat_:T	V	88811	datum
89087	dávkovat	dávkovat_:T	V	89075	dávka
89233	deaktivovat	deaktivovat_:W	V	6178	aktivovat
89266	dealkoholizovat	dealkoholizovat_:W	V	8084	alkoholizovat
89289	dealokovat	dealokovat_:W	V	8519	alokovat
89310	dealovat	dealovat_:T_,h_,t_^(obchodovat)	V	89321	deal
89373	debatovat	debatovat_:T	V		
89416	debetovat	debetovat_:T	V	89407	debet
89460	debitovat	debitovat_:T	V	89447	debit
89646	debutovat	debutovat_:T_:W	V		
89670	debužírovat	debužírovat_:T	V		
89865	decimovat	decimovat_:T	V		
90026	dedikovat	dedikovat_:T	V		
90146	dedukovat	dedukovat_:T_:W	V		
90273	defenestrovat	defenestrovat_:T_:W	V		
90343	defibrinovat	defibrinovat_:T_:W	V		
90372	defikovat	defikovat_:T	V		
90394	defilovat	defilovat_:T	V		
90433	definovat	definovat_:T_:W	V		
90464	deflorovat	deflorovat_:W	V		
90578	defraudovat	defraudovat_:T_:W	V		
90685	degradovat	degradovat_:T_:W	V		
90721	degustovat	degustovat_:T	V		
90804	dehonestovat	dehonestovat_:T	V		
90841	dehtovat	dehtovat_:T	V	90760	dehet
90930	dehydrovat	dehydrovat_:T_:W	V		
91189	dejlovat	dejlovat_:T	V		
91312	dekantovat	dekantovat_:T	V		
91335	dekapitovat	dekapitovat_:W	V		
91356	dekapovat	dekapovat_:T	V		
91440	deklamovat	deklamovat_:T	V		
91478	deklarovat	deklarovat_:T_:W	V		
91520	deklasovat	deklasovat_:T_:W	V		
91547	deklinovat	deklinovat_:T	V		
91595	dekofeinovat	dekofeinovat_:T_:W	V	261342	kofein
91673	dekoltovat	dekoltovat_:T	V	91664	dekolt
91694	dekomodifikovat	dekomodifikovat_:W	V		
91873	dekonstitucionalizovat	dekonstitucionalizovat_:T	V	267617	konstituce
92001	dekorovat	dekorovat_:T_:W	V		
92032	dekovat	dekovat_:T_,l	V		
92033	děkovat	děkovat_:T	V		
92075	dekrementovat	dekrementovat_:T	V	92066	dekrement
92102	dekretovat	dekretovat_:T	V	92093	dekret
92330	delegovat	delegovat_:T_:W	V		
92866	dementovat	dementovat_:T_:W	V	<<<?>>>	
92989	demisionovat	demisionovat_:T	V		
93184	demolovat	demolovat_:T_:W	V		
93223	démonizovat	démonizovat_:T	V	98981	démonický
93298	demonstrovat	demonstrovat_:T_:W	V		
93658	denaturovat	denaturovat_:T_:W	V		
93842	denitrovat	denitrovat_:T	V		
94002	denudovat	denudovat_:T	V		
94023	denuklearizovat	denuklearizovat_:T	V	386214	nukleus
94055	denunciovat	denunciovat_:W	V		
94075	denuncovat	denuncovat_:T_:W	V		
94288	depilovat	depilovat_:T_:W	V		
94403	deponovat	deponovat_:T_:W	V		
94432	deportovat	deportovat_:T	V		
94486	depravovat	depravovat_:T_:W_^(zhoršovat)	V		
94510	depreciovat	depreciovat_:W	V		
94555	deprimovat	deprimovat_:T_:W	V		
94603	deprivovat	deprivovat_:T	V		
94681	deratizovat	deratizovat_:T	V		
94883	derivovat	derivovat_:T	V		
94991	derniérovat	derniérovat_:T	V	94982	derniéra
95030	derogovat	derogovat_:T	V		
95062	děrovat	děrovat_:T	V	94716	děravý
95205	desavuovat	desavuovat_:W_^(kompromitovat;;popřít,_odmítnout)	V		
